   1249.78  1.6637E-01  6.6549E-01
   1250.62  1.6966E-01  6.7864E-01
   1251.45  1.7302E-01  6.9208E-01
   1252.29  1.7500E-01  7.0000E-01
   1253.12  1.7857E-01  7.1427E-01
   1253.96  1.8210E-01  7.2841E-01
   1254.79  1.8571E-01  7.4283E-01
   1255.63  2.0917E-01  8.3668E-01
   1256.47  2.1342E-01  8.5368E-01
   1257.31  2.1777E-01  8.7108E-01
   1258.14  2.2221E-01  8.8884E-01
   1258.98  1.6050E-01  6.4200E-01
   1259.82  1.6355E-01  6.5421E-01
   1260.66  1.6666E-01  6.6666E-01
   1261.50  1.2700E-01  5.0798E-01
   1262.34  1.2930E-01  5.1719E-01
   1263.19  1.3164E-01  5.2656E-01
   1264.03  1.3402E-01  5.3608E-01
   1264.87  2.6962E-01  1.0785E+00
   1265.71  2.7556E-01  1.1022E+00
   1266.56  2.8137E-01  1.1255E+00
   1267.40  2.8732E-01  1.1493E+00
   1268.25  2.4371E-01  9.7485E-01
   1269.09  2.4866E-01  9.9466E-01
   1269.94  2.5371E-01  1.0149E+00
   1270.79  2.5886E-01  1.0355E+00
   1271.64  2.6158E-01  1.0463E+00
   1272.48  2.6691E-01  1.0676E+00
   1273.33  2.7237E-01  1.0895E+00
   1274.18  2.7796E-01  1.1118E+00
   1275.03  2.4107E-01  9.6430E-01
   1275.88  2.4584E-01  9.8335E-01
   1276.73  2.5070E-01  1.0028E+00
   1277.58  2.5567E-01  1.0227E+00
   1278.44  1.1463E-01  4.5853E-01
   1279.29  1.1653E-01  4.6613E-01
   1280.14  1.1817E-01  4.7269E-01
   1280.99  1.5175E-01  6.0700E-01
   1281.85  1.5384E-01  6.1537E-01
   1282.70  1.5596E-01  6.2384E-01
   1283.56  1.5809E-01  6.3235E-01
   1284.41  1.6027E-01  6.4109E-01
   1285.27  2.1495E-01  8.5981E-01
   1286.13  2.1784E-01  8.7136E-01
   1286.99  2.2070E-01  8.8279E-01
   1287.84  2.2364E-01  8.9456E-01
   1288.70  4.8358E-01  1.9343E+00
   1289.56  4.8971E-01  1.9589E+00
   1290.42  4.9621E-01  1.9848E+00
   1291.28  5.0240E-01  2.0096E+00
   1292.14  3.3888E-01  1.3555E+00
   1293.01  3.4333E-01  1.3733E+00
   1293.87  3.4777E-01  1.3911E+00
   1294.73  1.5377E-01  6.1507E-01
   1295.59  1.5590E-01  6.2360E-01
   1296.46  1.5805E-01  6.3221E-01
   1297.32  1.6024E-01  6.4096E-01
   1298.19  6.1970E-02  2.4788E-01
   1299.05  6.2900E-02  2.5160E-01
   1299.92  6.3843E-02  2.5537E-01
   1300.79  5.5130E-02  2.2052E-01
   1301.65  5.8716E-02  2.3486E-01
   1302.52  5.9603E-02  2.3841E-01
   1303.39  9.6052E-02  3.8421E-01
   1304.26  9.7443E-02  3.8977E-01
   1305.13  9.8905E-02  3.9562E-01
   1306.00  1.0034E-01  4.0135E-01
   1306.87  3.1407E-01  1.2563E+00
   1307.74  3.1824E-01  1.2729E+00
   1308.62  3.2246E-01  1.2898E+00
   1309.49  3.2674E-01  1.3070E+00
   1310.36  3.3364E-01  1.3346E+00
   1311.23  3.3804E-01  1.3522E+00
   1312.11  3.4249E-01  1.3699E+00
   1312.98  3.4702E-01  1.3881E+00
   1313.86  1.7633E-01  7.0532E-01
   1314.74  1.7877E-01  7.1509E-01
   1315.61  1.8125E-01  7.2498E-01
   1316.49  7.2603E-02  2.9041E-01
   1317.37  7.3692E-02  2.9477E-01
   1318.25  7.4798E-02  2.9919E-01
   1319.13  5.7881E-02  2.3152E-01
   1320.01  5.8767E-02  2.3507E-01
   1320.89  5.5656E-02  2.2263E-01
   1321.77  5.6511E-02  2.2605E-01
   1322.65  6.0134E-02  2.4054E-01
   1323.53  6.1053E-02  2.4421E-01
   1324.41  6.1985E-02  2.4794E-01
   1325.30  6.8560E-02  2.7424E-01
   1326.18  8.9818E-02  3.5927E-01
   1327.06  9.1149E-02  3.6460E-01
   1327.95  1.6497E-01  6.5987E-01
   1328.83  1.6730E-01  6.6920E-01
   1329.72  1.6966E-01  6.7866E-01
   1330.61  2.8368E-01  1.1347E+00
   1331.49  2.8752E-01  1.1501E+00
   1332.38  2.9143E-01  1.1657E+00
   1333.27  2.9653E-01  1.1861E+00
   1334.16  3.0054E-01  1.2022E+00
   1335.05  1.4828E-01  5.9313E-01
   1335.94  1.5040E-01  6.0160E-01
   1336.83  1.5255E-01  6.1019E-01
   1337.72  9.9929E-02  3.9972E-01
   1338.61  1.0140E-01  4.0562E-01
   1339.51  7.3210E-02  2.9284E-01
   1340.40  7.4319E-02  2.9728E-01
   1341.29  7.5444E-02  3.0178E-01
   1342.19  7.5606E-02  3.0243E-01
   1343.08  7.6176E-02  3.0471E-01
   1343.98  7.7328E-02  3.0931E-01
   1344.88  7.8496E-02  3.1398E-01
   1345.77  7.9995E-02  3.1998E-01
   1346.67  8.1816E-02  3.2727E-01
   1347.57  8.4525E-02  3.3810E-01
   1348.47  1.1944E-01  4.7775E-01
   1349.37  1.2118E-01  4.8473E-01
   1350.27  1.2295E-01  4.9181E-01
   1351.17  1.2475E-01  4.9899E-01
   1352.07  1.9591E-01  7.8365E-01
   1352.97  1.9867E-01  7.9467E-01
   1353.87  3.4226E-01  1.3691E+00
   1354.77  3.4685E-01  1.3874E+00
   1355.68  3.5149E-01  1.4060E+00
   1356.58  1.6637E-01  6.6547E-01
   1357.49  1.6874E-01  6.7496E-01
   1358.39  1.7114E-01  6.8458E-01
   1359.30  1.1516E-01  4.6063E-01
   1360.20  1.1685E-01  4.6741E-01
   1361.11  1.1857E-01  4.7429E-01
   1362.02  1.0777E-01  4.3109E-01
   1362.93  1.0559E-01  4.2235E-01
   1363.84  1.0716E-01  4.2862E-01
   1364.75  1.0833E-01  4.3330E-01
   1365.66  1.0993E-01  4.3973E-01
   1366.57  1.1156E-01  4.4624E-01
   1367.48  1.1321E-01  4.5285E-01
   1368.39  1.1491E-01  4.5962E-01
   1369.30  1.1660E-01  4.6642E-01
   1370.22  1.1833E-01  4.7330E-01
   1371.13  1.2031E-01  4.8124E-01
   1372.04  1.2536E-01  5.0146E-01
   1372.96  1.2721E-01  5.0883E-01
   1373.87  1.5573E-01  6.2294E-01
   1374.79  1.5799E-01  6.3197E-01
   1375.71  1.6028E-01  6.4113E-01
   1376.62  2.1529E-01  8.6115E-01
   1377.54  2.1835E-01  8.7340E-01
   1378.46  1.8640E-01  7.4559E-01
   1379.38  1.8907E-01  7.5628E-01
   1380.30  1.9177E-01  7.6710E-01
   1381.22  1.9452E-01  7.7806E-01
   1382.14  1.9729E-01  7.8917E-01
   1383.06  1.6601E-01  6.6403E-01
   1383.99  1.6841E-01  6.7362E-01
   1384.91  1.4984E-01  5.9935E-01
   1385.83  1.5202E-01  6.0807E-01
   1386.76  1.5423E-01  6.1692E-01
   1387.68  1.5595E-01  6.2379E-01
   1388.61  1.5821E-01  6.3285E-01
   1389.53  1.6051E-01  6.4203E-01
   1390.46  1.6282E-01  6.5129E-01
   1391.39  1.6518E-01  6.6073E-01
   1392.31  1.6757E-01  6.7029E-01
   1393.24  1.7000E-01  6.7999E-01
   1394.17  1.7245E-01  6.8982E-01
   1395.10  1.7494E-01  6.9978E-01
   1396.03  1.7748E-01  7.0993E-01
   1396.96  1.8004E-01  7.2017E-01
   1397.89  1.8324E-01  7.3298E-01
   1398.83  1.8588E-01  7.4353E-01
   1399.76  1.9654E-01  7.8617E-01
   1400.69  1.9936E-01  7.9743E-01
   1401.63  2.3068E-01  9.2271E-01
   1402.56  2.3394E-01  9.3578E-01
   1403.50  2.3726E-01  9.4902E-01
   1404.43  2.5540E-01  1.0216E+00
   1405.37  2.5899E-01  1.0359E+00
   1406.31  2.6254E-01  1.0502E+00
   1407.24  2.6632E-01  1.0653E+00
   1408.18  2.3111E-01  9.2444E-01
   1409.12  2.3438E-01  9.3753E-01
   1410.06  2.2345E-01  8.9380E-01
   1411.00  2.2472E-01  8.9889E-01
   1411.94  2.2612E-01  9.0447E-01
   1412.88  2.2933E-01  9.1733E-01
   1413.83  2.3247E-01  9.2987E-01
   1414.77  2.3577E-01  9.4307E-01
   1415.71  2.3911E-01  9.5644E-01
   1416.66  2.4250E-01  9.6999E-01
   1417.60  2.4593E-01  9.8372E-01
