

 M O D E L  A T M O S P H E R E   (CGS UNITS)
    K    TAUROSS   TAU(5000)  GEOM. DEPTH     T        PE          PG         PRAD        PTURB     KAPPAROSS     K
   29  1.5849E-01  1.5482E-01   5.9639E+07  5019.51  3.8074E+00  4.8819E+04  1.7467E+00  0.0000E+00  1.7332E-01  29
   30  2.2387E-01  2.1360E-01   6.1834E+07  5115.17  4.7683E+00  5.8277E+04  1.8534E+00  0.0000E+00  2.0791E-01  30
   31  3.1623E-01  2.9360E-01   6.4036E+07  5229.35  6.0677E+00  6.9362E+04  1.9958E+00  0.0000E+00  2.5201E-01  31
   32  4.4668E-01  4.0175E-01   6.6230E+07  5365.58  7.9173E+00  8.2166E+04  2.1845E+00  0.0000E+00  3.1155E-01  32
   33  6.3096E-01  5.4685E-01   6.8379E+07  5528.35  1.0776E+01  9.6535E+04  2.4335E+00  0.0000E+00  3.9986E-01  33
   34  7.9433E-01  6.6941E-01   6.9742E+07  5648.32  1.3607E+01  1.0675E+05  2.6407E+00  0.0000E+00  4.8526E-01  34
   35  1.1220E+00  9.0222E-01   7.1672E+07  5859.16  2.0710E+01  1.2234E+05  3.0305E+00  0.0000E+00  6.9296E-01  35
   36  1.5849E+00  1.2082E+00   7.3369E+07  6100.25  3.3994E+01  1.3720E+05  3.5360E+00  0.0000E+00  1.0651E+00  36
   37  2.2387E+00  1.6087E+00   7.4796E+07  6377.78  5.9975E+01  1.5042E+05  4.1877E+00  0.0000E+00  1.7488E+00  37
   38  3.1623E+00  2.1298E+00   7.5944E+07  6711.65  1.1514E+02  1.6133E+05  5.0140E+00  0.0000E+00  3.1229E+00  38
   39  4.4668E+00  2.8060E+00   7.6845E+07  7052.26  2.1478E+02  1.6993E+05  6.0070E+00  0.0000E+00  5.5080E+00  39
   40  6.3096E+00  3.6926E+00   7.7591E+07  7348.44  3.5678E+02  1.7712E+05  7.1121E+00  0.0000E+00  8.8527E+00  40
   41  8.9125E+00  4.8736E+00   7.8265E+07  7607.14  5.4188E+02  1.8368E+05  8.2647E+00  0.0000E+00  1.3229E+01  41
   42  1.2589E+01  6.4652E+00   7.8915E+07  7838.90  7.7332E+02  1.9005E+05  9.4157E+00  0.0000E+00  1.8799E+01  42
   43  1.7783E+01  8.6278E+00   7.9567E+07  8052.21  1.0573E+03  1.9650E+05  1.0550E+01  0.0000E+00  2.5828E+01  43
   44  2.5119E+01  1.1583E+01   8.0241E+07  8252.66  1.4021E+03  2.0322E+05  1.1678E+01  0.0000E+00  3.4662E+01  44
   45  3.5481E+01  1.5637E+01   8.0948E+07  8444.18  1.8182E+03  2.1035E+05  1.2820E+01  0.0000E+00  4.5761E+01  45
   46  5.0119E+01  2.1215E+01   8.1701E+07  8629.61  2.3185E+03  2.1803E+05  1.3993E+01  0.0000E+00  5.9716E+01  46
   47  7.0795E+01  2.8904E+01   8.2508E+07  8810.95  2.9186E+03  2.2638E+05  1.5210E+01  0.0000E+00  7.7275E+01  47
