@var: pct = 1.3065E-22*Tgas
@format:idx,R,R,R,P,P,P,rate
@photo_start
96,O,CHO,,OH,CO,,5.00e-11
97,HCHO,H,,H2,CHO,,2.14e-12*((Tgas/298.)**1.62)*exp(-1090./Tgas)
98,HCHO,H,,CH2OH,,,2.41e-13*((Tgas/298.)**-1.40)*exp(-7720./Tgas)
99,HCHO,H,,CH3O,,,3.99e-11*exp(-2069./Tgas)
100,H,H,M,H2,M,,6.03e-33*((Tgas/298.)**-1.00)*exp(27./Tgas)
101,CHO,O2,,HO2,CO,,3.5e-12*exp(140./Tgas)
102,HCHO,OH,,H2O,CHO,,8.20e-12*exp(40./Tgas)
103,H,OH,M,H2O,M,,3.26E-30*((Tgas/298.)**-3.06)*exp(-796./Tgas)
104,H,OH,,H2,O,,6.86E-14*((Tgas/298.)**2.80)*exp(-1950./Tgas)
105,HCHO,O,,CHO,OH,,1.78E-11*((Tgas/298.)**0.57)*exp(-1390./Tgas)
106,H2O2,O,,OH,HO2,,7.38E-14*((Tgas/298.)**3.40)*exp(-1184./Tgas)
107,CH4,OH,,CH3,H2O,,3.38E-13*((Tgas/298.)**2.23)*exp(-1184./Tgas)
108,CH3,O2,M,CH3O2,M,,4.49E-31*((Tgas/298.)**-3.00)
109,CH3,O2,,CH3O,O,,2.19E-10*exp(-15756./Tgas)
110,CH3,OH,,CH3OH,,,1.00E-10
111,CH3,OH,,H2O,CH2,,1.20E-10*exp(-1400./Tgas)
112,CH3,OH,,CH2OH,H,,3.18E-12*((Tgas/298.)**1.00)*exp(-1606./Tgas)
113,CH3,OH,,CH3O,H,,6.45E-13*((Tgas/298.)**1.01)*exp(-6012./Tgas)
114,CH3,OH,,CH4,O,,3.22E-14*((Tgas/298.)**2.20)*exp(-2240./Tgas)
115,CH3,OH,,H2,HCHO,,9.10E-11*exp(-1500./Tgas)
116,CH3,O,,HCHO,H,,1.4e-10
117,CH3,O,,CH3O,,,7.51E-14*((Tgas/298.)**-2.12)*exp(-314./Tgas)
118,CH3,O3,,HCHO,HO2,,5.4e-12*exp(-220./Tgas)
119,CH3,O3,,CH3O,O2,,9.68E-14
120,CH3,CH2O,,CH4,CHO,,1.60E-16*(Tgas/298.)**(6.10)*exp(-990./Tgas)
121,CH3,H2S,,CH4,SH,,2.29E-13*exp(-1100/Tgas)
122,CH3,CHO,,CH4,CO,,2.01E-10
123,CH3,H2O2,,CH4,HO2,,2.01E-14*exp(-2494./Tgas)
124,CH3,HO2,,CH4,O2,,5.99E-12
125,CH3,H,,CH4,,,3.5e-10
126,CH3,H,M,CH4,M,,6.01E-29*(Tgas/298.)**(-1.80)
127,CH3,H2,,CH4,H,,6.86E-14*(Tgas/298.)**(2.74)*exp(-4739./Tgas)
128,CH3,H2O,,CH4,OH,,1.20E-14*(Tgas/298.)**(2.90)*exp(-7480./Tgas)
129,CH3,CH3O,,CH2O,CH4,,4.00e-11
