@var: pct = 1.3065E-22*Tgas
@format:idx,R,R,R,P,P,P,rate
@photo_start
107,O_1D,O2,,O,O2,,3.2E-11*EXP(70./Tgas)
108,H2O,O_1D,,OH,OH,,2.62E-10*EXP(65./Tgas)
109,H2,O_1D,,OH,H,,1.10E-10
110,CH4,O_1D,,CH3,OH,,1.13E-10
111,CH4,O_1D,,CH2O,H2,,7.51E-12
112,N2O,O_1D,,NO,NO,,6.7E-11
113,N2O,O_1D,,N2,O2,,4.9E-11
114,N2,O_1D,,N2O,,,3.5E-37*(Tgas/298.)**(-0.60e+00)
115,CH2_SING,CH4,,CH3,CH3,,5.9E-11
116,CH2_SING,O2,,CH2O,O,,6.64E-14
117,CH2_SING,N2,,CH2_TRIP,N2,,8.8E-12
118,CH2_TRIP,H2,,CH3,H,,5.E-15
119,CH2_TRIP,CH4,,CH3,CH3,,7.1E-12*EXP(-5051./Tgas)
120,CH2_TRIP,O2,,CH2O,O,,6.64E-14
121,SO2_SING,M,,SO2_TRIP,M,,1.0E-12
122,SO2_SING,M,,SO2,M,,1.0E-11
123,SO2_SING,O2,,SO3,O,,1.0E-16
124,SO2_SING,SO2,,SO3,SO,,4.0E-12
125,SO2_TRIP,M,,SO2,M,,1.5E-13
126,SO2_TRIP,SO2,,SO3,SO,,7.0E-14
127,H2,O,,OH,H,,3.44E-13*(Tgas/298.)**(2.67)*exp(-3160./Tgas)
128,H2,OH,,H2O,H,,1.54E-12**(Tgas/298.)**(1.64)*exp(-1650./Tgas)
129,H,O3,,OH,O2,,1.4e-10*exp(-470./Tgas)
130,H,O2,M,HO2,M,,5.47E-32*(Tgas/298.)**(-1.80e+00)
131,H,O2,,HO2,,,5.34E-11*(Tgas/298.)**(0.60e+00)*exp(122/Tgas)
132,H,O2,,OH,O,,3.58E-10*(Tgas/298.)**(-0.29e+00)*exp(-8040./Tgas)
133,H,HO2,,H2,O2,,1.93E-12*(Tgas/298.)**(1.81e+00)*exp(273./Tgas)
134,H,HO2,,H2O,O,,2.4e-12
135,H,HO2,,OH,OH,,7.56E-11*(Tgas/298.)**(0.21e+00)*exp(4.8/Tgas)
136,OH,O,,H,O2,,2.4e-11*exp(110./Tgas)
137,OH,HO2,,H2O,O2,,4.80E-11*exp(250./Tgas)
138,OH,O3,,HO2,O2,,3.05E-13*(Tgas/298.)**(2.50e+00)*exp(-402./Tgas)
139,HO2,O,,OH,O2,,3.20E-11*(Tgas/298.)**(0.66e+00)*exp(-232./Tgas)
140,HO2,O3,,OH,O2,O2,1.97e-16*((Tgas/298.)**4.57)*exp(695./Tgas)
141,HO2,HO2,M,H2O2,O2,M,1.90E-33*exp(980/Tgas)
142,H2O2,OH,,HO2,H2O,,2.9e-12*exp(-160./Tgas)
143,O,O,M,O2,M,,5.21e-35*exp(900./Tgas)
144,O,O2,M,O3,M,,5.70E-34*(Tgas/298.)**(-2.60e+00)
145,O,O3,,O2,O2,,1.83E-11*exp(-2164./Tgas)
146,OH,OH,,H2O,O,,1.29E-13*((Tgas/298.)**1.85)*exp(865./Tgas)
147,OH,OH,M,H2O2,M,,6.94E-31*((Tgas/298.)**-0.80)
148,CO,OH,,CO2,H,,5.40E-14*(Tgas/298.)**(1.50e+00)*exp(250./Tgas)
149,CO,O,M,CO2,M,,1.70E-33*exp(-1515/Tgas)
150,H,CO,M,CHO,M,,5.29E-34*exp(370./Tgas)
151,H,CHO,,H2,CO,,1.50e-10
152,CHO,CHO,,HCHO,CO,,5.00e-11
153,OH,CHO,,H2O,CO,,1.69e-10
154,O,CHO,,H,CO2,,5.00e-11
155,O,CHO,,OH,CO,,5.00e-11
156,HCHO,H,,H2,CHO,,2.14e-12*((Tgas/298.)**1.62)*exp(-1090./Tgas)
157,HCHO,H,,CH2OH,,,2.41e-13*((Tgas/298.)**-1.40)*exp(-7720./Tgas)
158,HCHO,H,,CH3O,,,3.99e-11*exp(-2069./Tgas)
159,H,H,M,H2,M,,6.03e-33*((Tgas/298.)**-1.00)*exp(27./Tgas)
160,CHO,O2,,HO2,CO,,3.5e-12*exp(140./Tgas)
161,HCHO,OH,,H2O,CHO,,8.20e-12*exp(40./Tgas)
162,H,OH,M,H2O,M,,3.26E-30*((Tgas/298.)**-3.06)*exp(-796./Tgas)
163,H,OH,,H2,O,,6.86E-14*((Tgas/298.)**2.80)*exp(-1950./Tgas)
164,HCHO,O,,CHO,OH,,1.78E-11*((Tgas/298.)**0.57)*exp(-1390./Tgas)
165,H2O2,O,,OH,HO2,,7.38E-14*((Tgas/298.)**3.40)*exp(-1184./Tgas)
166,CH4,OH,,CH3,H2O,,3.38E-13*((Tgas/298.)**2.23)*exp(-1184./Tgas)
167,CH3,O2,M,CH3O2,M,,4.49E-31*((Tgas/298.)**-3.00)
168,CH3,O2,,CH3O,O,,2.19E-10*exp(-15756./Tgas)
169,CH3,OH,,CH3OH,,,1.00E-10
170,CH3,OH,,H2O,CH2,,1.20E-10*exp(-1400./Tgas)
171,CH3,OH,,CH2OH,H,,3.18E-12*((Tgas/298.)**1.00)*exp(-1606./Tgas)
172,CH3,OH,,CH3O,H,,6.45E-13*((Tgas/298.)**1.01)*exp(-6012./Tgas)
173,CH3,OH,,CH4,O,,3.22E-14*((Tgas/298.)**2.20)*exp(-2240./Tgas)
174,CH3,OH,,H2,HCHO,,9.10E-11*exp(-1500./Tgas)
175,CH3,O,,HCHO,H,,1.4e-10
176,CH3,O,,CH3O,,,7.51E-14*((Tgas/298.)**-2.12)*exp(-314./Tgas)
177,CH3,O3,,HCHO,HO2,,5.4e-12*exp(-220./Tgas)
178,CH3,O3,,CH3O,O2,,9.68E-14
179,CH3,CH2O,,CH4,CHO,,1.60E-16*(Tgas/298.)**(6.10)*exp(-990./Tgas)
180,CH3,H2S,,CH4,SH,,2.29E-13*exp(-1100/Tgas)
181,CH3,CHO,,CH4,CO,,2.01E-10
182,CH3,H2O2,,CH4,HO2,,2.01E-14*exp(-2494./Tgas)
183,CH3,HO2,,CH4,O2,,5.99E-12
184,CH3,H,,CH4,,,3.5e-10
185,CH3,H,M,CH4,M,,6.01E-29*(Tgas/298.)**(-1.80)
186,CH3,H2,,CH4,H,,6.86E-14*(Tgas/298.)**(2.74)*exp(-4739./Tgas)
187,CH3,H2O,,CH4,OH,,1.20E-14*(Tgas/298.)**(2.90)*exp(-7480./Tgas)
188,CH3,CH3O,,CH2O,CH4,,4.00e-11
189,CH3,CH3OH,,CH4,CH3O,,1.12E-15*(Tgas/298.)**(3.10)*exp(-3488./Tgas)
190,CH3O2,HO2,,CH2O,H2O,O2,1.60E-15*exp(-1730./Tgas)
191,CH3O2,HO2,,CH4O2,O2,,3.8e-13*exp(780./Tgas)
192,CH3O2,CH3O2,,CH3O,CH3O,O2,7.40e-13*exp(-520./Tgas)
193,CH3O2,NO,,CH3O,NO2,,2.8e-12*exp(285./Tgas)
194,CH3O2,H,,CH4,O2,,1.17E-11*(Tgas/298.)**(1.02)*exp(-8353./Tgas)
195,CH3O2,H,,CH3O,OH,,1.60e-10
196,CH2OH,O,,CH2O,OH,,7.01E-11
197,CH2OH,OH,,CH2O,H2O,,4.00E-11
198,CH2OH,O2,,HCHO,HO2,,9.10E-12
199,CH3O,O2,,HCHO,HO2,,7.82E-14*exp(-1150./Tgas)
200,CH3O,O,,CH3,O2,,2.51E-11
201,CH3O,O,,HCHO,OH,,1.00e-11
202,CH3O,OH,,HCHO,H2O,,3.01e-11
203,N,O2,,NO,O,,1.5e-11*exp(-3600./Tgas)
204,N,O3,,NO,O2,,2.01e-16
205,N,OH,,NO,H,,4.70e-11
206,N,NO,,N2,O,,2.09e-11*exp(100./Tgas)
207,NO,O3,,NO2,O2,,1.4e-12*exp(-1310./Tgas)
208,O2,NO,NO,NO2,NO2,,3.30E-39*exp(530./Tgas)
209,NO,O,M,NO2,M,,1.01E-31*((Tgas/298.)**-1.60)
210,NO,O,,NO2,,,2.99E-11
211,NO,O,,O2,N,,8.93E-13*((Tgas/298.)**1.13)*exp(-19484./Tgas)
212,NO,HO2,,NO2,OH,,6.42E-12*((Tgas/298.)**-0.43)*exp(95./Tgas)
213,NO,OH,M,HNO2,M,,7.42E-31*((Tgas/298.)**-2.40)
214,NO,OH,,HNO2,,,3.30E-11
215,NO2,O,,NO,O2,,5.50e-12*exp(190./Tgas)
216,NO2,O,M,NO3,M,,9.02E-32*((Tgas/298.)**-2.00)
217,NO2,O,,NO3,,,2.30E-11*((Tgas/298.)**0.24)
218,NO2,OH,M,HNO3,M,,3.30E-30*((Tgas/298.)**-4.50)
219,NO2,OH,,HNO3,,,2.70E-11
220,NO2,OH,,HO2,NO,,3.01E-11*exp(-3360./Tgas)
221,NO2,H,,NO,OH,,1.47e-10
222,HNO3,OH,,H2O,NO3,,1.50e-13
223,HO2,NO2,M,HNO4,M,,1.80E-31*((Tgas/298.)**-3.20)
224,HO2,NO2,,HNO4,,,4.70E-12
225,HNO4,OH,,NO2,H2O,O2,1.90e-12*exp(270./Tgas)
226,HNO4,O,,NO2,OH,O2,7.8e-11*exp(-3400./Tgas)
227,CH4O2,OH,,CH3O2,H2O,,1.9e-12*exp(190./Tgas)
228,CH4O2,OH,,CH2OOH,H2O,,1.00e-12*exp(190./Tgas)
229,CH4O2,OH,,CH2O,OH,H2O,1.68E-12
230,CH3O2,OH,,CH3OH,O2,,1.05E-11*((Tgas/298.)**-1.53)*exp(5./Tgas)
231,CH3O2,OH,,CH3O,HO2,,7.54E-11*((Tgas/298.)**-0.22)*exp(183./Tgas)
232,CH3O2,OH,,H2O,CH2OO,,2.24E-14*((Tgas/298.)**2.88)*exp(595./Tgas)
233,O3,NO2,,O2,NO3,,1.40e-13*exp(-2470./Tgas)
234,NO2,NO3,,N2O5,,,1.90E-12*((Tgas/298.)**0.20)
235,NO2,NO3,M,N2O5,M,,2.81E-30*((Tgas/298.)**-3.50)
236,NO2,NO3,,NO,NO2,O2,4.5e-14*exp(-1260./Tgas)
237,O,NO3,,O2,NO2,,1.70e-11
238,NO,NO3,,NO2,NO2,,1.80e-11*exp(110./Tgas)
239,OH,NO3,,HO2,NO2,,2.0e-11
240,HO2,NO3,,HNO3,O2,,1.91e-12
241,HO2,NO3,,OH,O2,NO2,2.51e-12
242,N2O5,H2O,,HNO3,HNO3,,2.5e-22
243,N2O5,H2O,H2O,HNO3,HNO3,H2O,1.8e-39
244,N2O5,M,,NO2,NO3,M,1.33E-03*(Tgas/298.)**(-3.50e-00)*exp(-11000./Tgas)
245,SO,O2,,O,SO2,,1.60e-13*exp(-2280./Tgas)
246,SO,HO2,,SO2,OH,,2.8E-11
247,SO,O,M,SO2,M,,4.82e-31*(Tgas/298.)**(-2.17e-00)
248,SO,OH,,SO2,H,,8.17e-11*(Tgas/298.)**(-1.35e-00)
249,SO2,OH,,HSO3,,,1.31e-12*(Tgas/298.)**(-0.70e-00)
250,SO2,OH,M,HSO3,M,,3.01E-31*(Tgas/298.)**(-3.30e-00)
251,SO2,O,M,SO3,M,,4.00E-32*exp(-1000/Tgas)
252,SO3,H2O,,H2SO4,,,1.20E-15
253,HSO3,O2,,HO2,SO3,,1.30e-12*exp(-330./Tgas)
254,HSO3,OH,,H2O,SO3,,1.00E-11
255,HSO3,H,,H2,SO3,,1.00E-11
256,HSO3,O,,OH,SO3,,1.00E-11
257,H2S,OH,,H2O,SH,,6.10e-12*exp(-80./Tgas)
