@var: pct = 1.3065E-22*Tgas
@format:idx,R,R,R,P,P,P,rate
69,CS2,,,CS,S,,@xsecFile=SWRI
70,CH3SH,,,CH3S,H,,@xsecFile=LEIDEN
71,CH3SH,,,CH3,SH,,@xsecFile=LEIDEN
72,C2,,,C,C,,@xsecFile=LEIDEN
73,C2H,,,C2,H,,@xsecFile=LEIDEN
74,C2H3,,,C2H2,H,,@xsecFile=LEIDEN
75,C2H5,,,C2H4,H,,@xsecFile=LEIDEN
76,CH,,,C,H,,@xsecFile=LEIDEN
77,CN,,,C,N,,@xsecFile=LEIDEN
78,HNC,,,H,CN,,@xsecFile=LEIDEN
79,NH,,,N,H,,@xsecFile=LEIDEN
80,NH2,,,NH,H,,@xsecFile=LEIDEN
81,PH3,,,PH2,H,,@xsecFile=SWRI
82,HC3N,,,C2H,CN,,@xsecFile=LEIDEN
83,CH3,,,CH,H2,,@xsecFile=LEIDEN
84,N2H4,,,N2H3,H,,@xsecFile=LEIDEN
85,C4H2,,,C2H2,C2,,@xsecFile=LEIDEN
86,S4,,,S2,S2,,@xsecFile=LEIDEN
@photo_stop
87,SO2,,,SO2_SING,,,9.66E-04
88,SO2,,,SO2_TRIP,,,8.84E-07
89,SO2_SING,,,SO2_TRIP,,,1.5E+3
90,SO2_SING,,,SO2,,,2.2E+4
91,SO2_TRIP,,,SO2,,,1.13E+3
92,O_1D,CO2,,O,CO2,,7.41E-11*EXP(120./Tgas)
93,O_1D,N2,,O,N2,,1.8E-11*EXP(110./Tgas)
94,O_1D,O2,,O,O2,,3.2E-11*EXP(70./Tgas)
95,H2O,O_1D,,OH,OH,,2.62E-10*EXP(65./Tgas)
96,H2,O_1D,,OH,H,,1.10E-10
97,CH4,O_1D,,CH3,OH,,1.13E-10
98,CH4,O_1D,,CH2O,H2,,7.51E-12
99,N2O,O_1D,,NO,NO,,6.7E-11
100,N2O,O_1D,,N2,O2,,4.9E-11
101,N2,O_1D,,N2O,,,3.5E-37*(Tgas/298.)**(-0.60e+00)
102,CH2_SING,CH4,,CH3,CH3,,5.9E-11
103,CH2_SING,O2,,CH2O,O,,6.64E-14
104,CH2_SING,N2,,CH2_TRIP,N2,,8.8E-12
105,CH2_TRIP,H2,,CH3,H,,5.E-15
106,CH2_TRIP,CH4,,CH3,CH3,,7.1E-12*EXP(-5051./Tgas)
107,CH2_TRIP,O2,,CH2O,O,,6.64E-14
108,SO2_SING,M,,SO2_TRIP,M,,1.0E-12
109,SO2_SING,M,,SO2,M,,1.0E-11
110,SO2_SING,O2,,SO3,O,,1.0E-16
111,SO2_SING,SO2,,SO3,SO,,4.0E-12
112,SO2_TRIP,M,,SO2,M,,1.5E-13
113,SO2_TRIP,SO2,,SO3,SO,,7.0E-14
114,H2,O,,OH,H,,3.44E-13*(Tgas/298.)**(2.67)*exp(-3160./Tgas)
115,H2,OH,,H2O,H,,1.54E-12**(Tgas/298.)**(1.64)*exp(-1650./Tgas)
116,H,O3,,OH,O2,,1.4e-10*exp(-470./Tgas)
117,H,O2,M,HO2,M,,5.47E-32*(Tgas/298.)**(-1.80e+00)
118,H,O2,,HO2,,,5.34E-11*(Tgas/298.)**(0.60e+00)*exp(122/Tgas)
119,H,O2,,OH,O,,3.58E-10*(Tgas/298.)**(-0.29e+00)*exp(-8040./Tgas)
120,H,HO2,,H2,O2,,1.93E-12*(Tgas/298.)**(1.81e+00)*exp(273./Tgas)
121,H,HO2,,H2O,O,,2.4e-12
122,H,HO2,,OH,OH,,7.56E-11*(Tgas/298.)**(0.21e+00)*exp(4.8/Tgas)
123,OH,O,,H,O2,,2.4e-11*exp(110./Tgas)
124,OH,HO2,,H2O,O2,,4.80E-11*exp(250./Tgas)
125,OH,O3,,HO2,O2,,3.05E-13*(Tgas/298.)**(2.50e+00)*exp(-402./Tgas)
126,HO2,O,,OH,O2,,3.20E-11*(Tgas/298.)**(0.66e+00)*exp(-232./Tgas)
127,HO2,O3,,OH,O2,O2,1.97e-16*((Tgas/298.)**4.57)*exp(695./Tgas)
128,HO2,HO2,M,H2O2,O2,M,1.90E-33*exp(980/Tgas)
129,H2O2,OH,,HO2,H2O,,2.9e-12*exp(-160./Tgas)
130,O,O,M,O2,M,,5.21e-35*exp(900./Tgas)
131,O,O2,M,O3,M,,5.70E-34*(Tgas/298.)**(-2.60e+00)
132,O,O3,,O2,O2,,1.83E-11*exp(-2164./Tgas)
133,OH,OH,,H2O,O,,1.29E-13*((Tgas/298.)**1.85)*exp(865./Tgas)
134,OH,OH,M,H2O2,M,,6.94E-31*((Tgas/298.)**-0.80)
135,CO,OH,,CO2,H,,5.40E-14*(Tgas/298.)**(1.50e+00)*exp(250./Tgas)
136,CO,O,M,CO2,M,,1.70E-33*exp(-1515/Tgas)
137,H,CO,M,CHO,M,,5.29E-34*exp(370./Tgas)
138,H,CHO,,H2,CO,,1.50e-10
139,CHO,CHO,,HCHO,CO,,5.00e-11
140,OH,CHO,,H2O,CO,,1.69e-10
141,O,CHO,,H,CO2,,5.00e-11
142,O,CHO,,OH,CO,,5.00e-11
143,HCHO,H,,H2,CHO,,2.14e-12*((Tgas/298.)**1.62)*exp(-1090./Tgas)
144,HCHO,H,,CH2OH,,,2.41e-13*((Tgas/298.)**-1.40)*exp(-7720./Tgas)
145,HCHO,H,,CH3O,,,3.99e-11*exp(-2069./Tgas)
146,H,H,M,H2,M,,6.03e-33*((Tgas/298.)**-1.00)*exp(27./Tgas)
147,CHO,O2,,HO2,CO,,3.5e-12*exp(140./Tgas)
148,HCHO,OH,,H2O,CHO,,8.20e-12*exp(40./Tgas)
149,H,OH,M,H2O,M,,3.26E-30*((Tgas/298.)**-3.06)*exp(-796./Tgas)
150,H,OH,,H2,O,,6.86E-14*((Tgas/298.)**2.80)*exp(-1950./Tgas)
151,HCHO,O,,CHO,OH,,1.78E-11*((Tgas/298.)**0.57)*exp(-1390./Tgas)
152,H2O2,O,,OH,HO2,,7.38E-14*((Tgas/298.)**3.40)*exp(-1184./Tgas)
153,CH4,OH,,CH3,H2O,,3.38E-13*((Tgas/298.)**2.23)*exp(-1184./Tgas)
154,CH3,O2,M,CH3O2,M,,4.49E-31*((Tgas/298.)**-3.00)
155,CH3,O2,,CH3O,O,,2.19E-10*exp(-15756./Tgas)
156,CH3,OH,,CH3OH,,,1.00E-10
157,CH3,OH,,H2O,CH2,,1.20E-10*exp(-1400./Tgas)
158,CH3,OH,,CH2OH,H,,3.18E-12*((Tgas/298.)**1.00)*exp(-1606./Tgas)
159,CH3,OH,,CH3O,H,,6.45E-13*((Tgas/298.)**1.01)*exp(-6012./Tgas)
160,CH3,OH,,CH4,O,,3.22E-14*((Tgas/298.)**2.20)*exp(-2240./Tgas)
161,CH3,OH,,H2,HCHO,,9.10E-11*exp(-1500./Tgas)
162,CH3,O,,HCHO,H,,1.4e-10
163,CH3,O,,CH3O,,,7.51E-14*((Tgas/298.)**-2.12)*exp(-314./Tgas)
164,CH3,O3,,HCHO,HO2,,5.4e-12*exp(-220./Tgas)
165,CH3,O3,,CH3O,O2,,9.68E-14
166,CH3,CH2O,,CH4,CHO,,1.60E-16*(Tgas/298.)**(6.10)*exp(-990./Tgas)
167,CH3,H2S,,CH4,SH,,2.29E-13*exp(-1100/Tgas)
168,CH3,CHO,,CH4,CO,,2.01E-10
169,CH3,H2O2,,CH4,HO2,,2.01E-14*exp(-2494./Tgas)
170,CH3,HO2,,CH4,O2,,5.99E-12
171,CH3,H,,CH4,,,3.5e-10
172,CH3,H,M,CH4,M,,6.01E-29*(Tgas/298.)**(-1.80)
173,CH3,H2,,CH4,H,,6.86E-14*(Tgas/298.)**(2.74)*exp(-4739./Tgas)
174,CH3,H2O,,CH4,OH,,1.20E-14*(Tgas/298.)**(2.90)*exp(-7480./Tgas)
175,CH3,CH3O,,CH2O,CH4,,4.00e-11
176,CH3,CH3OH,,CH4,CH3O,,1.12E-15*(Tgas/298.)**(3.10)*exp(-3488./Tgas)
177,CH3O2,HO2,,CH2O,H2O,O2,1.60E-15*exp(-1730./Tgas)
178,CH3O2,HO2,,CH4O2,O2,,3.8e-13*exp(780./Tgas)
179,CH3O2,CH3O2,,CH3O,CH3O,O2,7.40e-13*exp(-520./Tgas)
180,CH3O2,NO,,CH3O,NO2,,2.8e-12*exp(285./Tgas)
181,CH3O2,H,,CH4,O2,,1.17E-11*(Tgas/298.)**(1.02)*exp(-8353./Tgas)
182,CH3O2,H,,CH3O,OH,,1.60e-10
183,CH2OH,O,,CH2O,OH,,7.01E-11
184,CH2OH,OH,,CH2O,H2O,,4.00E-11
185,CH2OH,O2,,HCHO,HO2,,9.10E-12
186,CH3O,O2,,HCHO,HO2,,7.82E-14*exp(-1150./Tgas)
187,CH3O,O,,CH3,O2,,2.51E-11
188,CH3O,O,,HCHO,OH,,1.00e-11
189,CH3O,OH,,HCHO,H2O,,3.01e-11
190,N,O2,,NO,O,,1.5e-11*exp(-3600./Tgas)
191,N,O3,,NO,O2,,2.01e-16
192,N,OH,,NO,H,,4.70e-11
193,N,NO,,N2,O,,2.09e-11*exp(100./Tgas)
194,NO,O3,,NO2,O2,,1.4e-12*exp(-1310./Tgas)
195,O2,NO,NO,NO2,NO2,,3.30E-39*exp(530./Tgas)
196,NO,O,M,NO2,M,,1.01E-31*((Tgas/298.)**-1.60)
197,NO,O,,NO2,,,2.99E-11
198,NO,O,,O2,N,,8.93E-13*((Tgas/298.)**1.13)*exp(-19484./Tgas)
199,NO,HO2,,NO2,OH,,6.42E-12*((Tgas/298.)**-0.43)*exp(95./Tgas)
200,NO,OH,M,HNO2,M,,7.42E-31*((Tgas/298.)**-2.40)
201,NO,OH,,HNO2,,,3.30E-11
202,NO2,O,,NO,O2,,5.50e-12*exp(190./Tgas)
203,NO2,O,M,NO3,M,,9.02E-32*((Tgas/298.)**-2.00)
204,NO2,O,,NO3,,,2.30E-11*((Tgas/298.)**0.24)
205,NO2,OH,M,HNO3,M,,3.30E-30*((Tgas/298.)**-4.50)
206,NO2,OH,,HNO3,,,2.70E-11
207,NO2,OH,,HO2,NO,,3.01E-11*exp(-3360./Tgas)
208,NO2,H,,NO,OH,,1.47e-10
209,HNO3,OH,,H2O,NO3,,1.50e-13
210,HO2,NO2,M,HNO4,M,,1.80E-31*((Tgas/298.)**-3.20)
211,HO2,NO2,,HNO4,,,4.70E-12
212,HNO4,OH,,NO2,H2O,O2,1.90e-12*exp(270./Tgas)
213,HNO4,O,,NO2,OH,O2,7.8e-11*exp(-3400./Tgas)
214,CH4O2,OH,,CH3O2,H2O,,1.9e-12*exp(190./Tgas)
215,CH4O2,OH,,CH2OOH,H2O,,1.00e-12*exp(190./Tgas)
216,CH4O2,OH,,CH2O,OH,H2O,1.68E-12
217,CH3O2,OH,,CH3OH,O2,,1.05E-11*((Tgas/298.)**-1.53)*exp(5./Tgas)
218,CH3O2,OH,,CH3O,HO2,,7.54E-11*((Tgas/298.)**-0.22)*exp(183./Tgas)
219,CH3O2,OH,,H2O,CH2OO,,2.24E-14*((Tgas/298.)**2.88)*exp(595./Tgas)
220,O3,NO2,,O2,NO3,,1.40e-13*exp(-2470./Tgas)
221,NO2,NO3,,N2O5,,,1.90E-12*((Tgas/298.)**0.20)
222,NO2,NO3,M,N2O5,M,,2.81E-30*((Tgas/298.)**-3.50)
223,NO2,NO3,,NO,NO2,O2,4.5e-14*exp(-1260./Tgas)
224,O,NO3,,O2,NO2,,1.70e-11
225,NO,NO3,,NO2,NO2,,1.80e-11*exp(110./Tgas)
226,OH,NO3,,HO2,NO2,,2.0e-11
227,HO2,NO3,,HNO3,O2,,1.91e-12
228,HO2,NO3,,OH,O2,NO2,2.51e-12
229,N2O5,H2O,,HNO3,HNO3,,2.5e-22
230,N2O5,H2O,H2O,HNO3,HNO3,H2O,1.8e-39
231,N2O5,M,,NO2,NO3,M,1.33E-03*(Tgas/298.)**(-3.50e-00)*exp(-11000./Tgas)
232,SO,O2,,O,SO2,,1.60e-13*exp(-2280./Tgas)
233,SO,HO2,,SO2,OH,,2.8E-11
234,SO,O,M,SO2,M,,4.82e-31*(Tgas/298.)**(-2.17e-00)
235,SO,OH,,SO2,H,,8.17e-11*(Tgas/298.)**(-1.35e-00)
236,SO2,OH,,HSO3,,,1.31e-12*(Tgas/298.)**(-0.70e-00)
237,SO2,OH,M,HSO3,M,,3.01E-31*(Tgas/298.)**(-3.30e-00)
238,SO2,O,M,SO3,M,,4.00E-32*exp(-1000/Tgas)
239,SO3,H2O,,H2SO4,,,1.20E-15
240,HSO3,O2,,HO2,SO3,,1.30e-12*exp(-330./Tgas)
241,HSO3,OH,,H2O,SO3,,1.00E-11
242,HSO3,H,,H2,SO3,,1.00E-11
243,HSO3,O,,OH,SO3,,1.00E-11
244,H2S,OH,,H2O,SH,,6.10e-12*exp(-80./Tgas)
245,H2S,H,,H2,SH,,3.66e-12*((Tgas/298.)**1.94)*exp(-455./Tgas)
246,H2S,O,,OH,SH,,9.22e-12*exp(-1800./Tgas)
247,SH,O,,H,SO,,1.60e-10
248,SH,O,,OH,S,,3.8E-13*((Tgas/298.)**0.67)*exp(-1900./Tgas)
249,SH,O2,,OH,SO,,4.00e-19
250,SH,O3,,HSO,O2,,9.50E-12*EXP(-280./Tgas)
251,SH,NO2,,HSO,NO,,2.90E-11*EXP(240./Tgas)
252,SH,HO2,,H2S,O2,,3.00e-11
253,SH,SH,,H2S,S,,1.50e-11
254,SH,SH,,H2,S2,,5.00e-14
255,SH,CHO,,H2S,CO,,5.00E-11
256,SH,H,,H2,S,,3.01e-11
257,SH,S,,H,S2,,4.00e-11
258,SH,HCHO,,H2S,CHO,,1.7E-11*EXP(-800./Tgas)
259,S,O2,,SO,O,,1.50e-13*((Tgas/298.)**2.11)*exp(730./Tgas)
260,S,O3,,SO,O2,,1.20E-11
261,S,OH,,SO,H,,6.60e-11
262,S,HO2,,SH,O2,,1.5E-11
263,S,HO2,,SO,OH,,1.5E-11
264,SO,NO2,,SO2,NO,,1.40e-11
265,SO,O3,,SO2,O2,,4.50e-12*exp(-1170./Tgas)
266,SO2,HO2,,SO3,OH,,8.63E-16
267,SO,SO,,SO2,S,,3.01e-15
268,SO3,SO,,SO2,SO2,,2.00e-15
269,S,CO2,,SO,CO,,1.00e-20
270,SO,CHO,,HSO,CO,,3.5E-12*EXP(140./Tgas)
271,H,SO,,HSO,,,5.34E-11*(Tgas/298.)**(0.60e+00)*exp(122/Tgas)
272,HSO,OH,,H2O,SO,,1.75E-11*(Tgas/298.)**(0.42e+00)*exp(478./Tgas)
273,HSO,H,,SH,OH,,7.56E-11*(Tgas/298.)**(0.21e+00)*exp(4.8/Tgas)
274,HSO,H,,H2,SO,,1.93E-12*(Tgas/298.)**(1.81e+00)*exp(273./Tgas)
275,HSO,SH,,H2S,SO,,1.00E-12
276,HSO,O,,OH,SO,,3.20E-11*(Tgas/298.)**(0.66e+00)*exp(-232./Tgas)
277,HSO,S,,SH,SO,,1.00E-11
278,N2O,H,,N2,OH,,9.22e-14*exp(-0.36/Tgas)
279,N2O,NO,,NO2,N2,,2.E-14*EXP(-25000./Tgas)
280,OH,H,,H2,O,,3.44E-13*(Tgas/298.)**(2.67)*exp(-3160./Tgas)*pct**(0)/exp(-0.1783555400000001*(log(Tgas)-1)+0.0007917047246000001*Tgas/2+-1.762740285999999e-06*Tgas**2/6+1.911596559e-09*Tgas**3/12+-7.202287194000001e-13*Tgas**4/20-766.6119499999986/Tgas+1.656142803)
281,H2O,H,,H2,OH,,1.54E-12**(Tgas/298.)**(1.64)*exp(-1650./Tgas)*pct**(0)/exp(-0.7954217200000002*(log(Tgas)-1)+0.00027811728459999985*Tgas/2+2.167384614e-06*Tgas**2/6+-1.946070461e-09*Tgas**3/12+4.3800895060000005e-13*Tgas**4/20--7142.651569999998/Tgas+3.067064207)
282,OH,O2,,H,O3,,1.4e-10*exp(-470./Tgas)*pct**(0)/exp(1.86705839*(log(Tgas)-1)+-0.007451591339999999*Tgas/2+6.153371400000012e-07*Tgas**2/6+8.77069605e-09*Tgas**3/12+-5.1538088700000005e-12*Tgas**4/20--39033.2031/Tgas+-4.282115697)
283,HO2,M,,H,O2,M,5.47E-32*(Tgas/298.)**(-1.80e+00)*pct**(-1)/exp(-1.9806582899999992*(log(Tgas)-1)+-0.0017523868100000005*Tgas/2+1.1310988490000001e-05*Tgas**2/6+-1.459509631e-08*Tgas**3/12+6.048523880000001e-12*Tgas**4/20--24145.697955/Tgas+0.5056693200000004)
284,HO2,,,H,O2,,5.34E-11*(Tgas/298.)**(0.60e+00)*exp(122/Tgas)*pct**(-1)/exp(-1.9806582899999992*(log(Tgas)-1)+-0.0017523868100000005*Tgas/2+1.1310988490000001e-05*Tgas**2/6+-1.459509631e-08*Tgas**3/12+6.048523880000001e-12*Tgas**4/20--24145.697955/Tgas+0.5056693200000004)
285,OH,O,,H,O2,,3.58E-10*(Tgas/298.)**(-0.29e+00)*exp(-8040./Tgas)*pct**(0)/exp(0.8777949800000004*(log(Tgas)-1)+-0.00268365123*Tgas/2+1.41240228e-06*Tgas**2/6+-3.2593420999999945e-10*Tgas**3/12+2.3212635999999974e-13*Tgas**4/20-8081.4411199999995/Tgas+-1.263057897)
286,H2,O2,,H,HO2,,1.93E-12*(Tgas/298.)**(1.81e+00)*exp(273./Tgas)*pct**(0)/exp(0.48273096999999954*(log(Tgas)-1)+0.0018389343754000001*Tgas/2+-1.1574671834000002e-05*Tgas**2/6+1.4932402931000002e-08*Tgas**3/12+-6.077759850600001e-12*Tgas**4/20--27847.934835/Tgas+-3.87106121)
287,H2O,O,,H,HO2,,2.4e-12*pct**(0)/exp(0.5651042299999998*(log(Tgas)-1)+-0.0005665995699999996*Tgas/2+-7.99488494e-06*Tgas**2/6+1.2660398259999999e-08*Tgas**3/12+-5.407624540000001e-12*Tgas**4/20--26909.145285/Tgas+-2.0670548999999996)
288,OH,OH,,H,HO2,,7.56E-11*(Tgas/298.)**(0.21e+00)*exp(4.8/Tgas)*pct**(0)/exp(1.1821704099999994*(log(Tgas)-1)+-5.301212999999933e-05*Tgas/2+-1.1925009840000002e-05*Tgas**2/6+1.6518065280000002e-08*Tgas**3/12+-6.565862210000001e-12*Tgas**4/20--18999.881765000002/Tgas+-3.4779763040000002)
289,H,O2,,OH,O,,2.4e-11*exp(110./Tgas)*pct**(0)/exp(-0.8777949800000004*(log(Tgas)-1)+0.00268365123*Tgas/2+-1.4124022799999992e-06*Tgas**2/6+3.2593420999999945e-10*Tgas**3/12+-2.3212636000000014e-13*Tgas**4/20--8081.4411199999995/Tgas+1.263057897)
290,H2O,O2,,OH,HO2,,4.80E-11*exp(250./Tgas)*pct**(0)/exp(-0.3126907500000011*(log(Tgas)-1)+0.0021170516600000004*Tgas/2+-9.40728722e-06*Tgas**2/6+1.2986332469999999e-08*Tgas**3/12+-5.639750900000001e-12*Tgas**4/20--34990.586405/Tgas+-0.8039970029999997)
291,HO2,O2,,OH,O3,,3.05E-13*(Tgas/298.)**(2.50e+00)*exp(-402./Tgas)*pct**(0)/exp(0.6848879799999996*(log(Tgas)-1)+-0.007398579210000001*Tgas/2+1.254034698e-05*Tgas**2/6+-7.747369230000003e-09*Tgas**3/12+1.4120533400000017e-12*Tgas**4/20--20033.321335/Tgas+-0.8041393930000011)
292,OH,O2,,HO2,O,,3.20E-11*(Tgas/298.)**(0.66e+00)*exp(-232./Tgas)*pct**(0)/exp(0.3043754299999999*(log(Tgas)-1)+0.0026306390999999998*Tgas/2+-1.3337412120000001e-05*Tgas**2/6+1.684399949e-08*Tgas**3/12+-6.7979885700000016e-12*Tgas**4/20--27081.322885/Tgas+-2.2149184070000003)
293,OH,O2,O2,HO2,O3,,1.97e-16*((Tgas/298.)**4.57)*exp(695./Tgas)*pct**(1)/exp(3.8477166799999996*(log(Tgas)-1)+-0.005699204529999999*Tgas/2+-1.0695651350000002e-05*Tgas**2/6+2.336579236e-08*Tgas**3/12+-1.1202332750000002e-11*Tgas**4/20--14887.505145/Tgas+-4.787785017000001)
294,H2O2,O2,M,HO2,HO2,M,1.90E-33*exp(980/Tgas)*pct**(0)/exp(-0.5059882900000008*(log(Tgas)-1)+0.005654117158*Tgas/2+-1.4828846690000002e-05*Tgas**2/6+1.6195193310000002e-08*Tgas**3/12+-6.251274550000002e-12*Tgas**4/20--19298.72423/Tgas+-0.5019154800000005)
295,HO2,H2O,,H2O2,OH,,2.9e-12*exp(-160./Tgas)*pct**(0)/exp(0.19329754000000143*(log(Tgas)-1)+-0.0035370654980000004*Tgas/2+5.421559470000001e-06*Tgas**2/6+-3.208860840000003e-09*Tgas**3/12+6.115236500000013e-13*Tgas**4/20--15691.862174999998/Tgas+-0.3020815229999999)
296,O2,M,,O,O,M,5.21e-35*exp(900./Tgas)*pct**(-1)/exp(-2.55407784*(log(Tgas)-1)+0.00356190352*Tgas/2+-3.4388259099999993e-06*Tgas**2/6+2.5748373899999995e-09*Tgas**3/12+-9.815910499999999e-13*Tgas**4/20--59308.46196/Tgas+-0.44619118999999996)
297,O3,M,,O,O2,M,5.70E-34*(Tgas/298.)**(-2.60e+00)*pct**(-1)/exp(-3.5433412499999997*(log(Tgas)-1)+0.00832984363*Tgas/2+-2.641760769999998e-06*Tgas**2/6+-6.521792869999998e-09*Tgas**3/12+4.40434418e-12*Tgas**4/20--12193.81774/Tgas+2.57286661)
298,O2,O2,,O,O3,,1.83E-11*exp(-2164./Tgas)*pct**(0)/exp(0.9892634099999995*(log(Tgas)-1)+-0.00476794011*Tgas/2+-7.97065139999998e-07*Tgas**2/6+9.096630259999999e-09*Tgas**3/12+-5.38593523e-12*Tgas**4/20--47114.64422/Tgas+-3.019057800000002)
299,H2O,O,,OH,OH,,1.29E-13*((Tgas/298.)**1.85)*exp(865./Tgas)*pct**(0)/exp(-0.6170661799999997*(log(Tgas)-1)+-0.0005135874400000002*Tgas/2+3.930124899999999e-06*Tgas**2/6+-3.85766702e-09*Tgas**3/12+1.15823767e-12*Tgas**4/20--7909.26352/Tgas+1.410921404)
300,H2O2,M,,OH,OH,M,6.94E-31*((Tgas/298.)**-0.80)*pct**(-1)/exp(-3.66881699*(log(Tgas)-1)+0.003954742478*Tgas/2+8.40715164e-06*Tgas**2/6+-1.491796828e-08*Tgas**3/12+6.3631115399999995e-12*Tgas**4/20--24444.540419999998/Tgas+3.481730144)
301,CO2,H,,CO,OH,,5.40E-14*(Tgas/298.)**(1.50e+00)*exp(250./Tgas)*pct**(0)/exp(-2.71470474*(log(Tgas)-1)+0.01199555014*Tgas/2+-1.275551783e-05*Tgas**2/6+5.429458000000001e-09*Tgas**3/12+-6.0165601e-13*Tgas**4/20--11923.123360000001/Tgas+6.049809827000001)
302,CO2,M,,CO,O,M,1.70E-33*exp(-1515/Tgas)*pct**(-1)/exp(-4.3909876*(log(Tgas)-1)+0.012873802430000001*Tgas/2+-1.4781941459999999e-05*Tgas**2/6+7.67836118e-09*Tgas**3/12+-1.3511207e-12*Tgas**4/20--63150.144199999995/Tgas+4.340560740000001)
303,CHO,M,,H,CO,M,5.29E-34*exp(370./Tgas)*pct**(-1)/exp(-1.8419873999999998*(log(Tgas)-1)+-0.00271039888*Tgas/2+1.29862121e-05*Tgas**2/6+-1.433100536e-08*Tgas**3/12+5.27858657e-12*Tgas**4/20--7257.16215/Tgas+0.24662224000000021)
304,H2,CO,,H,CHO,,1.50e-10*pct**(0)/exp(0.34406007999999977*(log(Tgas)-1)+0.0027969464454*Tgas/2+-1.3249895444e-05*Tgas**2/6+1.4668311981e-08*Tgas**3/12+-5.3078225406e-12*Tgas**4/20--44736.47064/Tgas+-3.61201413)
