  0.12497842E+004  0.99998829E-099
  0.12506176E+004  0.99998829E-099
  0.12514516E+004  0.99998828E-099
  0.12522861E+004  0.99998829E-099
  0.12531213E+004  0.99998829E-099
  0.12539569E+004  0.99998829E-099
  0.12547931E+004  0.99998829E-099
  0.12556299E+004  0.99998829E-099
  0.12564673E+004  0.99998829E-099
  0.12573052E+004  0.99998829E-099
  0.12581436E+004  0.99998829E-099
  0.12589826E+004  0.99998829E-099
  0.12598222E+004  0.99998830E-099
  0.12606623E+004  0.99998829E-099
  0.12615030E+004  0.99998829E-099
  0.12623443E+004  0.99998828E-099
  0.12631861E+004  0.99998829E-099
  0.12640285E+004  0.99998828E-099
  0.12648714E+004  0.99998829E-099
  0.12657149E+004  0.99998829E-099
  0.12665590E+004  0.99998828E-099
  0.12674036E+004  0.99998830E-099
  0.12682488E+004  0.99998828E-099
  0.12690945E+004  0.99998829E-099
  0.12699409E+004  0.99998828E-099
  0.12707877E+004  0.99998828E-099
  0.12716352E+004  0.99998828E-099
  0.12724832E+004  0.99998827E-099
  0.12733318E+004  0.99998829E-099
  0.12741809E+004  0.99998830E-099
  0.12750306E+004  0.99998828E-099
  0.12758809E+004  0.99998826E-099
  0.12767317E+004  0.99998827E-099
  0.12775832E+004  0.99998823E-099
  0.12784351E+004  0.99998825E-099
  0.12792877E+004  0.99998824E-099
  0.12801408E+004  0.99998826E-099
  0.12809945E+004  0.99998831E-099
  0.12818487E+004  0.99998827E-099
  0.12827036E+004  0.99998832E-099
  0.12835589E+004  0.99998826E-099
  0.12844149E+004  0.99998822E-099
  0.12852714E+004  0.99998826E-099
  0.12861285E+004  0.99998833E-099
  0.12869862E+004  0.99998827E-099
  0.12878445E+004  0.99998827E-099
  0.12887033E+004  0.99998827E-099
  0.12895627E+004  0.99998828E-099
  0.12904226E+004  0.99998824E-099
  0.12912832E+004  0.99998833E-099
  0.12921443E+004  0.99998819E-099
  0.12930060E+004  0.99998824E-099
  0.12938683E+004  0.99998816E-099
  0.12947311E+004  0.99998818E-099
  0.12955945E+004  0.99998812E-099
  0.12964585E+004  0.99998814E-099
  0.12973231E+004  0.99998838E-099
  0.12981882E+004  0.99998794E-099
  0.12990539E+004  0.99998802E-099
  0.12999202E+004  0.99998808E-099
  0.13007871E+004  0.99998791E-099
  0.13016545E+004  0.99998813E-099
  0.13025226E+004  0.99998775E-099
  0.13033912E+004  0.99998847E-099
  0.13042604E+004  0.99998819E-099
  0.13051301E+004  0.99998809E-099
  0.13060005E+004  0.99998823E-099
  0.13068714E+004  0.99998824E-099
  0.13077429E+004  0.99998777E-099
  0.13086150E+004  0.99998767E-099
  0.13094877E+004  0.99998696E-099
  0.13103609E+004  0.99998706E-099
  0.13112348E+004  0.99998763E-099
  0.13121092E+004  0.99998815E-099
  0.13129842E+004  0.99998616E-099
  0.13138598E+004  0.99998758E-099
  0.13147359E+004  0.99998590E-099
  0.13156127E+004  0.99998663E-099
  0.13164900E+004  0.99998908E-099
  0.13173680E+004  0.99998731E-099
