

 M O D E L  A T M O S P H E R E   (CGS UNITS)
    K    TAUROSS   TAU(5000)  GEOM. DEPTH     T        PE          PG         PRAD        PTURB     KAPPAROSS     K
   17  2.5119E-03  3.4179E-04   1.6014E+07  2712.64  1.2613E-02  5.3369E+03  1.8904E-01  0.0000E+00  2.3991E-02  17
   18  3.5481E-03  5.3294E-04   1.6919E+07  2740.81  1.6635E-02  6.9968E+03  1.9038E-01  0.0000E+00  2.5677E-02  18
   19  5.0119E-03  8.3886E-04   1.7832E+07  2772.90  2.2114E-02  9.1796E+03  1.9212E-01  0.0000E+00  2.7672E-02  19
   20  7.0795E-03  1.3308E-03   1.8751E+07  2809.01  2.9593E-02  1.2034E+04  1.9436E-01  0.0000E+00  2.9956E-02  20
   21  1.0000E-02  2.1260E-03   1.9677E+07  2849.63  3.9868E-02  1.5748E+04  1.9722E-01  0.0000E+00  3.2599E-02  21
   22  1.4125E-02  3.4246E-03   2.0612E+07  2898.24  5.4393E-02  2.0556E+04  2.0086E-01  0.0000E+00  3.5668E-02  22
   23  1.9953E-02  5.5723E-03   2.1561E+07  2955.17  7.5076E-02  2.6745E+04  2.0540E-01  0.0000E+00  3.9226E-02  23
   24  2.8184E-02  9.1322E-03   2.2526E+07  3014.14  1.0340E-01  3.4677E+04  2.1103E-01  0.0000E+00  4.3322E-02  24
   25  3.9811E-02  1.4998E-02   2.3510E+07  3075.30  1.4211E-01  4.4805E+04  2.1797E-01  0.0000E+00  4.8003E-02  25
   26  5.6234E-02  2.4607E-02   2.4512E+07  3138.80  1.9493E-01  5.7692E+04  2.2656E-01  0.0000E+00  5.3371E-02  26
   27  7.9433E-02  4.0260E-02   2.5535E+07  3204.86  2.6691E-01  7.4039E+04  2.3723E-01  0.0000E+00  5.9529E-02  27
   28  1.1220E-01  6.5587E-02   2.6579E+07  3273.69  3.6490E-01  9.4692E+04  2.5058E-01  0.0000E+00  6.6724E-02  28
   29  1.5849E-01  1.0622E-01   2.7643E+07  3345.42  4.9800E-01  1.2063E+05  2.6742E-01  0.0000E+00  7.5311E-02  29
   30  2.2387E-01  1.7071E-01   2.8724E+07  3420.14  6.7826E-01  1.5294E+05  2.8875E-01  0.0000E+00  8.5798E-02  30
   31  3.1623E-01  2.7166E-01   2.9817E+07  3497.84  9.2151E-01  1.9277E+05  3.1576E-01  0.0000E+00  9.8928E-02  31
   32  4.4668E-01  4.2696E-01   3.0917E+07  3578.38  1.2481E+00  2.4118E+05  3.4963E-01  0.0000E+00  1.1584E-01  32
   33  6.3096E-01  6.6103E-01   3.2013E+07  3661.46  1.6840E+00  2.9906E+05  3.9114E-01  0.0000E+00  1.3804E-01  33
   34  7.9433E-01  8.7676E-01   3.2730E+07  3718.06  2.0513E+00  3.4324E+05  4.2311E-01  0.0000E+00  1.5661E-01  34
   35  1.1220E+00  1.3185E+00   3.3804E+07  3804.29  2.7459E+00  4.1824E+05  4.7687E-01  0.0000E+00  1.9206E-01  35
   36  1.5849E+00  1.9475E+00   3.4856E+07  3891.42  3.6540E+00  5.0402E+05  5.3627E-01  0.0000E+00  2.3872E-01  36
   37  2.2387E+00  2.8273E+00   3.5885E+07  3978.87  4.8312E+00  6.0100E+05  5.9968E-01  0.0000E+00  2.9945E-01  37
   38  3.1623E+00  4.0428E+00   3.6893E+07  4066.58  6.3500E+00  7.0999E+05  6.6617E-01  0.0000E+00  3.7694E-01  38
   39  4.4668E+00  5.7078E+00   3.7884E+07  4155.04  8.3076E+00  8.3212E+05  7.3582E-01  0.0000E+00  4.7570E-01  39
   40  6.3096E+00  7.9745E+00   3.8864E+07  4244.93  1.0833E+01  9.6874E+05  8.0935E-01  0.0000E+00  6.0091E-01  40
   41  8.9125E+00  1.1048E+01   3.9837E+07  4337.12  1.4100E+01  1.1215E+06  8.8775E-01  0.0000E+00  7.5892E-01  41
   42  1.2589E+01  1.5204E+01   4.0809E+07  4432.52  1.8342E+01  1.2924E+06  9.7228E-01  0.0000E+00  9.5802E-01  42
   43  1.7783E+01  2.0818E+01   4.1784E+07  4532.16  2.3877E+01  1.4838E+06  1.0648E+00  0.0000E+00  1.2081E+00  43
   44  2.5119E+01  2.8394E+01   4.2766E+07  4637.18  3.1132E+01  1.6982E+06  1.1679E+00  0.0000E+00  1.5222E+00  44
   45  3.5481E+01  3.8611E+01   4.3760E+07  4748.87  4.0691E+01  1.9387E+06  1.2850E+00  0.0000E+00  1.9159E+00  45
   46  5.0119E+01  5.2380E+01   4.4769E+07  4868.73  5.3344E+01  2.2088E+06  1.4198E+00  0.0000E+00  2.4094E+00  46
   47  7.0795E+01  7.0916E+01   4.5798E+07  4998.47  7.0163E+01  2.5123E+06  1.5774E+00  0.0000E+00  3.0267E+00  47
   48  1.0000E+02  9.5833E+01   4.6851E+07  5140.15  9.2599E+01  2.8538E+06  1.7641E+00  0.0000E+00  3.7963E+00  48
   49  1.2589E+02  1.1700E+02   4.7561E+07  5242.55  1.1165E+02  3.1053E+06  1.9089E+00  0.0000E+00  4.4111E+00  49
   50  1.5849E+02  1.4271E+02   4.8286E+07  5352.09  1.3483E+02  3.3778E+06  2.0736E+00  0.0000E+00  5.1207E+00  50
   51  1.9953E+02  1.7393E+02   4.9027E+07  5469.58  1.6314E+02  3.6735E+06  2.2617E+00  0.0000E+00  5.9411E+00  51
   52  2.5119E+02  2.1176E+02   4.9786E+07  5595.77  1.9789E+02  3.9944E+06  2.4778E+00  0.0000E+00  6.8925E+00  52
   53  3.1623E+02  2.5754E+02   5.0562E+07  5731.22  2.4100E+02  4.3422E+06  2.7266E+00  0.0000E+00  8.0129E+00  53
