        abinit   abmarcs   isw
Mg          12         8    12
Si          14        10    14
Ti          21        17    22
 O           8         5     8
Fe          25        15    26
Al          13         9    13
Ca          20        13    20
 S          16        11    16
 C           6         3     6
 K          19        12    19 
Cl          17        18    17  
Na          11         7    11
