  0.12497842E+004  0.71314004E-045
  0.12506176E+004  0.77542369E-045
  0.12514516E+004  0.84309809E-045
  0.12522861E+004  0.91662557E-045
  0.12531213E+004  0.99650772E-045
  0.12539569E+004  0.10832887E-044
  0.12547931E+004  0.11775589E-044
  0.12556299E+004  0.12799586E-044
  0.12564673E+004  0.13911826E-044
  0.12573052E+004  0.15119842E-044
  0.12581436E+004  0.16431807E-044
  0.12589826E+004  0.17856582E-044
  0.12598222E+004  0.19403778E-044
  0.12606623E+004  0.21083819E-044
  0.12615030E+004  0.22908003E-044
  0.12623443E+004  0.24888586E-044
  0.12631861E+004  0.27038852E-044
  0.12640285E+004  0.29373204E-044
  0.12648714E+004  0.31907256E-044
  0.12657149E+004  0.34657935E-044
  0.12665590E+004  0.37643588E-044
  0.12674036E+004  0.40884102E-044
  0.12682488E+004  0.44401030E-044
  0.12690945E+004  0.48217731E-044
  0.12699409E+004  0.52359522E-044
  0.12707877E+004  0.56853835E-044
  0.12716352E+004  0.61730394E-044
  0.12724832E+004  0.67021409E-044
  0.12733318E+004  0.72761777E-044
  0.12741809E+004  0.78989304E-044
  0.12750306E+004  0.85744949E-044
  0.12758809E+004  0.93073081E-044
  0.12767317E+004  0.10102176E-043
  0.12775832E+004  0.10964305E-043
  0.12784351E+004  0.11899332E-043
  0.12792877E+004  0.12913365E-043
  0.12801408E+004  0.14013016E-043
  0.12809945E+004  0.15205448E-043
  0.12818487E+004  0.16498415E-043
  0.12827036E+004  0.17900313E-043
  0.12835589E+004  0.19420234E-043
  0.12844149E+004  0.21068021E-043
  0.12852714E+004  0.22854330E-043
  0.12861285E+004  0.24790696E-043
  0.12869862E+004  0.26889606E-043
  0.12878445E+004  0.29164577E-043
  0.12887033E+004  0.31630238E-043
  0.12895627E+004  0.34302421E-043
  0.12904226E+004  0.37198262E-043
  0.12912832E+004  0.40336304E-043
  0.12921443E+004  0.43736614E-043
  0.12930060E+004  0.47420903E-043
  0.12938683E+004  0.51412665E-043
  0.12947311E+004  0.55737315E-043
  0.12955945E+004  0.60422354E-043
  0.12964585E+004  0.65497528E-043
  0.12973231E+004  0.70995018E-043
  0.12981882E+004  0.76949632E-043
  0.12990539E+004  0.83399019E-043
  0.12999202E+004  0.90383900E-043
  0.13007871E+004  0.97948315E-043
  0.13016545E+004  0.10613989E-042
  0.13025226E+004  0.11501013E-042
  0.13033912E+004  0.12461472E-042
  0.13042604E+004  0.13501389E-042
  0.13051301E+004  0.14627273E-042
  0.13060005E+004  0.15846164E-042
  0.13068714E+004  0.17165671E-042
  0.13077429E+004  0.18594021E-042
  0.13086150E+004  0.20140106E-042
  0.13094877E+004  0.21813537E-042
  0.13103609E+004  0.23624704E-042
  0.13112348E+004  0.25584835E-042
  0.13121092E+004  0.27706063E-042
  0.13129842E+004  0.30001502E-042
  0.13138598E+004  0.32485323E-042
  0.13147359E+004  0.35172836E-042
  0.13156127E+004  0.38080585E-042
  0.13164900E+004  0.41226445E-042
  0.13173680E+004  0.44629726E-042
  0.13182465E+004  0.48311290E-042
  0.13191256E+004  0.52293672E-042
  0.13200052E+004  0.56601216E-042
  0.13208855E+004  0.61260213E-042
  0.13217664E+004  0.66299063E-042
  0.13226478E+004  0.71748435E-042
  0.13235298E+004  0.77641452E-042
  0.13244125E+004  0.84013882E-042
  0.13252957E+004  0.90904350E-042
  0.13261795E+004  0.98354560E-042
  0.13270638E+004  0.10640954E-041
  0.13279488E+004  0.11511791E-041
  0.13288344E+004  0.12453215E-041
  0.13297205E+004  0.13470892E-041
  0.13306073E+004  0.14570939E-041
  0.13314946E+004  0.15759957E-041
  0.13323826E+004  0.17045073E-041
  0.13332711E+004  0.18433976E-041
  0.13341602E+004  0.19934969E-041
  0.13350499E+004  0.21557008E-041
  0.13359402E+004  0.23309759E-041
  0.13368311E+004  0.25203654E-041
  0.13377226E+004  0.27249947E-041
  0.13386147E+004  0.29460781E-041
  0.13395073E+004  0.31849256E-041
  0.13404006E+004  0.34429508E-041
  0.13412945E+004  0.37216783E-041
  0.13421889E+004  0.40227528E-041
  0.13430840E+004  0.43479484E-041
  0.13439797E+004  0.46991786E-041
  0.13448759E+004  0.50785072E-041
  0.13457728E+004  0.54881600E-041
  0.13466702E+004  0.59305373E-041
  0.13475683E+004  0.64082274E-041
  0.13484669E+004  0.69240214E-041
  0.13493662E+004  0.74809287E-041
  0.13502660E+004  0.80821941E-041
  0.13511665E+004  0.87313159E-041
  0.13520675E+004  0.94320653E-041
  0.13529692E+004  0.10188508E-040
  0.13538714E+004  0.11005026E-040
  0.13547743E+004  0.11886345E-040
  0.13556777E+004  0.12837554E-040
  0.13565818E+004  0.13864142E-040
  0.13574864E+004  0.14972023E-040
  0.13583917E+004  0.16167570E-040
  0.13592976E+004  0.17457651E-040
  0.13602040E+004  0.18849668E-040
  0.13611111E+004  0.20351594E-040
  0.13620188E+004  0.21972020E-040
  0.13629271E+004  0.23720204E-040
  0.13638360E+004  0.25606117E-040
  0.13647455E+004  0.27640502E-040
  0.13656556E+004  0.29834930E-040
  0.13665663E+004  0.32201868E-040
  0.13674776E+004  0.34754739E-040
  0.13683895E+004  0.37508004E-040
  0.13693020E+004  0.40477236E-040
  0.13702152E+004  0.43679206E-040
  0.13711289E+004  0.47131972E-040
  0.13720433E+004  0.50854983E-040
  0.13729583E+004  0.54869176E-040
  0.13738738E+004  0.59197098E-040
  0.13747900E+004  0.63863020E-040
  0.13757068E+004  0.68893075E-040
  0.13766243E+004  0.74315393E-040
  0.13775423E+004  0.80160256E-040
  0.13784609E+004  0.86460259E-040
  0.13793802E+004  0.93250487E-040
  0.13803000E+004  0.10056870E-039
  0.13812205E+004  0.10845554E-039
  0.13821416E+004  0.11695474E-039
  0.13830633E+004  0.12611336E-039
  0.13839856E+004  0.13598206E-039
  0.13849086E+004  0.14661531E-039
  0.13858321E+004  0.15807176E-039
  0.13867563E+004  0.17041450E-039
  0.13876810E+004  0.18371137E-039
  0.13886064E+004  0.19803540E-039
  0.13895325E+004  0.21346513E-039
  0.13904591E+004  0.23008503E-039
  0.13913863E+004  0.24798598E-039
  0.13923142E+004  0.26726570E-039
  0.13932427E+004  0.28802932E-039
  0.13941718E+004  0.31038989E-039
  0.13951015E+004  0.33446896E-039
  0.13960319E+004  0.36039726E-039
  0.13969629E+004  0.38831536E-039
  0.13978944E+004  0.41837439E-039
  0.13988266E+004  0.45073687E-039
  0.13997595E+004  0.48557749E-039
  0.14006929E+004  0.52308406E-039
  0.14016270E+004  0.56345849E-039
  0.14025617E+004  0.60691782E-039
  0.14034970E+004  0.65369533E-039
  0.14044330E+004  0.70404177E-039
  0.14053695E+004  0.75822661E-039
  0.14063067E+004  0.81653950E-039
  0.14072446E+004  0.87929169E-039
  0.14081830E+004  0.94681764E-039
  0.14091221E+004  0.10194768E-038
  0.14100618E+004  0.10976553E-038
  0.14110021E+004  0.11817680E-038
  0.14119430E+004  0.12722609E-038
  0.14128846E+004  0.13696128E-038
  0.14138268E+004  0.14743383E-038
  0.14147697E+004  0.15869899E-038
  0.14157131E+004  0.17081615E-038
  0.14166572E+004  0.18384906E-038
  0.14176019E+004  0.19786623E-038
  0.14185473E+004  0.21294120E-038
  0.14194933E+004  0.22915298E-038
  0.14204399E+004  0.24658639E-038
  0.14213871E+004  0.26533255E-038
  0.14223350E+004  0.28548926E-038
  0.14232835E+004  0.30716156E-038
  0.14242326E+004  0.33046222E-038
  0.14251824E+004  0.35551231E-038
  0.14261328E+004  0.38244180E-038
  0.14270839E+004  0.41139022E-038
  0.14280355E+004  0.44250735E-038
  0.14289879E+004  0.47595397E-038
  0.14299408E+004  0.51190263E-038
  0.14308944E+004  0.55053855E-038
  0.14318486E+004  0.59206049E-038
  0.14328034E+004  0.63668178E-038
  0.14337589E+004  0.68463132E-038
  0.14347151E+004  0.73615476E-038
  0.14356718E+004  0.79151568E-038
  0.14366292E+004  0.85099689E-038
  0.14375873E+004  0.91490180E-038
  0.14385459E+004  0.98355595E-038
  0.14395053E+004  0.10573086E-037
  0.14404652E+004  0.11365343E-037
  0.14414258E+004  0.12216350E-037
  0.14423871E+004  0.13130417E-037
  0.14433489E+004  0.14112167E-037
  0.14443115E+004  0.15166560E-037
  0.14452746E+004  0.16298912E-037
  0.14462384E+004  0.17514929E-037
  0.14472029E+004  0.18820724E-037
  0.14481680E+004  0.20222857E-037
  0.14491337E+004  0.21728359E-037
  0.14501001E+004  0.23344769E-037
  0.14510671E+004  0.25080173E-037
  0.14520348E+004  0.26943236E-037
  0.14530031E+004  0.28943248E-037
  0.14539720E+004  0.31090170E-037
  0.14549417E+004  0.33394677E-037
  0.14559119E+004  0.35868213E-037
  0.14568828E+004  0.38523043E-037
  0.14578544E+004  0.41372313E-037
  0.14588265E+004  0.44430112E-037
  0.14597994E+004  0.47711537E-037
  0.14607729E+004  0.51232767E-037
  0.14617470E+004  0.55011141E-037
  0.14627218E+004  0.59065234E-037
  0.14636973E+004  0.63414952E-037
  0.14646733E+004  0.68081618E-037
  0.14656501E+004  0.73088080E-037
  0.14666275E+004  0.78458814E-037
  0.14676055E+004  0.84220039E-037
  0.14685842E+004  0.90399841E-037
  0.14695636E+004  0.97028302E-037
  0.14705436E+004  0.10413765E-036
  0.14715242E+004  0.11176238E-036
  0.14725055E+004  0.11993947E-036
  0.14734875E+004  0.12870849E-036
  0.14744701E+004  0.13811183E-036
  0.14754534E+004  0.14819488E-036
  0.14764373E+004  0.15900623E-036
  0.14774219E+004  0.17059793E-036
  0.14784072E+004  0.18302569E-036
  0.14793931E+004  0.19634914E-036
  0.14803796E+004  0.21063216E-036
  0.14813668E+004  0.22594308E-036
  0.14823547E+004  0.24235509E-036
  0.14833432E+004  0.25994651E-036
  0.14843324E+004  0.27880117E-036
  0.14853223E+004  0.29900879E-036
  0.14863128E+004  0.32066540E-036
  0.14873040E+004  0.34387377E-036
  0.14882958E+004  0.36874387E-036
  0.14892883E+004  0.39539338E-036
  0.14902815E+004  0.42394822E-036
  0.14912753E+004  0.45454313E-036
  0.14922698E+004  0.48732225E-036
  0.14932649E+004  0.52243981E-036
  0.14942607E+004  0.56006081E-036
  0.14952572E+004  0.60036176E-036
  0.14962543E+004  0.64353145E-036
  0.14972521E+004  0.68977186E-036
  0.14982506E+004  0.73929900E-036
  0.14992497E+004  0.79234392E-036
  0.15002495E+004  0.84915374E-036
  0.15012500E+004  0.90999271E-036
  0.15022511E+004  0.97514345E-036
  0.15032529E+004  0.10449082E-035
  0.15042554E+004  0.11196100E-035
  0.15052585E+004  0.11995946E-035
  0.15062623E+004  0.12852312E-035
  0.15072668E+004  0.13769149E-035
  0.15082720E+004  0.14750680E-035
  0.15092778E+004  0.15801419E-035
  0.15102843E+004  0.16926192E-035
  0.15112914E+004  0.18130156E-035
  0.15122993E+004  0.19418827E-035
  0.15133078E+004  0.20798097E-035
  0.15143169E+004  0.22274265E-035
  0.15153268E+004  0.23854063E-035
  0.15163373E+004  0.25544684E-035
  0.15173485E+004  0.27353816E-035
  0.15183604E+004  0.29289675E-035
  0.15193729E+004  0.31361037E-035
  0.15203861E+004  0.33577283E-035
  0.15214000E+004  0.35948432E-035
  0.15224146E+004  0.38485190E-035
  0.15234298E+004  0.41198995E-035
  0.15244458E+004  0.44102065E-035
  0.15254624E+004  0.47207451E-035
  0.15264796E+004  0.50529095E-035
  0.15274976E+004  0.54081888E-035
  0.15285162E+004  0.57881734E-035
  0.15295356E+004  0.61945621E-035
  0.15305556E+004  0.66291689E-035
  0.15315762E+004  0.70939311E-035
  0.15325976E+004  0.75909175E-035
  0.15336196E+004  0.81223372E-035
  0.15346423E+004  0.86905490E-035
  0.15356657E+004  0.92980713E-035
  0.15366898E+004  0.99475931E-035
  0.15377146E+004  0.10641985E-034
  0.15387401E+004  0.11384312E-034
  0.15397662E+004  0.12177845E-034
  0.15407930E+004  0.13026077E-034
  0.15418205E+004  0.13932735E-034
  0.15428487E+004  0.14901798E-034
  0.15438776E+004  0.15937512E-034
  0.15449071E+004  0.17044411E-034
  0.15459374E+004  0.18227330E-034
  0.15469683E+004  0.19491431E-034
  0.15479999E+004  0.20842223E-034
  0.15490322E+004  0.22285582E-034
  0.15500652E+004  0.23827781E-034
  0.15510989E+004  0.25475509E-034
  0.15521333E+004  0.27235906E-034
  0.15531684E+004  0.29116587E-034
  0.15542041E+004  0.31125679E-034
  0.15552406E+004  0.33271848E-034
  0.15562777E+004  0.35564339E-034
  0.15573155E+004  0.38013015E-034
  0.15583541E+004  0.40628393E-034
  0.15593933E+004  0.43421694E-034
  0.15604332E+004  0.46404882E-034
  0.15614738E+004  0.49590716E-034
  0.15625151E+004  0.52992805E-034
  0.15635571E+004  0.56625658E-034
  0.15645998E+004  0.60504750E-034
  0.15656431E+004  0.64646576E-034
  0.15666872E+004  0.69068729E-034
  0.15677320E+004  0.73789961E-034
  0.15687774E+004  0.78830267E-034
  0.15698236E+004  0.84210961E-034
  0.15708705E+004  0.89954766E-034
  0.15719180E+004  0.96085902E-034
  0.15729663E+004  0.10263019E-033
  0.15740153E+004  0.10961514E-033
  0.15750649E+004  0.11707008E-033
  0.15761153E+004  0.12502628E-033
  0.15771663E+004  0.13351703E-033
  0.15782181E+004  0.14257786E-033
  0.15792706E+004  0.15224657E-033
  0.15803237E+004  0.16256348E-033
  0.15813776E+004  0.17357155E-033
  0.15824322E+004  0.18531653E-033
  0.15834874E+004  0.19784717E-033
  0.15845434E+004  0.21121543E-033
  0.15856001E+004  0.22547664E-033
  0.15866575E+004  0.24068974E-033
  0.15877155E+004  0.25691754E-033
  0.15887743E+004  0.27422691E-033
  0.15898338E+004  0.29268911E-033
  0.15908941E+004  0.31238000E-033
  0.15919550E+004  0.33338041E-033
  0.15930166E+004  0.35577641E-033
  0.15940789E+004  0.37965963E-033
  0.15951420E+004  0.40512769E-033
  0.15962057E+004  0.43228452E-033
  0.15972702E+004  0.46124077E-033
  0.15983353E+004  0.49211428E-033
  0.15994012E+004  0.52503050E-033
  0.16004678E+004  0.56012298E-033
  0.16015351E+004  0.59753391E-033
  0.16026031E+004  0.63741466E-033
  0.16036718E+004  0.67992635E-033
  0.16047413E+004  0.72524050E-033
  0.16058114E+004  0.77353966E-033
  0.16068823E+004  0.82501814E-033
  0.16079538E+004  0.87988274E-033
  0.16090261E+004  0.93835355E-033
  0.16100991E+004  0.10006648E-032
  0.16111729E+004  0.10670657E-032
  0.16122473E+004  0.11378215E-032
  0.16133225E+004  0.12132145E-032
  0.16143983E+004  0.12935448E-032
  0.16154749E+004  0.13791321E-032
  0.16165522E+004  0.14703162E-032
  0.16176302E+004  0.15674588E-032
  0.16187090E+004  0.16709445E-032
  0.16197885E+004  0.17811827E-032
  0.16208686E+004  0.18986086E-032
  0.16219495E+004  0.20236853E-032
  0.16230312E+004  0.21569053E-032
  0.16241135E+004  0.22987925E-032
  0.16251966E+004  0.24499039E-032
  0.16262804E+004  0.26108321E-032
  0.16273649E+004  0.27822071E-032
  0.16284501E+004  0.29646990E-032
  0.16295361E+004  0.31590202E-032
  0.16306228E+004  0.33659283E-032
  0.16317102E+004  0.35862288E-032
  0.16327983E+004  0.38207781E-032
  0.16338872E+004  0.40704866E-032
  0.16349767E+004  0.43363224E-032
  0.16360671E+004  0.46193143E-032
  0.16371581E+004  0.49205564E-032
  0.16382499E+004  0.52412111E-032
  0.16393423E+004  0.55825145E-032
  0.16404356E+004  0.59457802E-032
  0.16415295E+004  0.63324041E-032
  0.16426242E+004  0.67438701E-032
