#pseudo-Leiden file converted from a specific SWRI (PhIDRates) branch column
#reaction: H2O -> H2 + O_1D (SWRI col 'H2/O1D', native matcher can't map our 'O_1D' naming)
#source: H2O.txt, column 3 (0-indexed incl. Lambda), verified by hand against the raw header
#this branch's own cross section used for both photoabsorption and photodissociation
#wavelength(nm) photoabsorption(cm2) photodissociation(cm2) photoionization(cm2)
95.820000 3.110000e-18 3.110000e-18 0.000000e+00
95.980000 3.220000e-18 3.220000e-18 0.000000e+00
96.080000 2.850000e-18 2.850000e-18 0.000000e+00
96.330000 2.950000e-18 2.950000e-18 0.000000e+00
96.540000 2.670000e-18 2.670000e-18 0.000000e+00
96.730000 2.900000e-18 2.900000e-18 0.000000e+00
96.840000 2.890000e-18 2.890000e-18 0.000000e+00
97.000000 2.130000e-18 2.130000e-18 0.000000e+00
97.720000 2.430000e-18 2.430000e-18 0.000000e+00
97.800000 2.480000e-18 2.480000e-18 0.000000e+00
98.400000 1.320000e-18 1.320000e-18 0.000000e+00
100.000000 8.000000e-19 8.000000e-19 0.000000e+00
102.000000 5.000000e-19 5.000000e-19 0.000000e+00
104.000000 3.000000e-19 3.000000e-19 0.000000e+00
106.000000 1.900000e-19 1.900000e-19 0.000000e+00
106.500000 3.350000e-19 3.350000e-19 0.000000e+00
107.000000 2.300000e-19 2.300000e-19 0.000000e+00
107.500000 1.050000e-18 1.050000e-18 0.000000e+00
108.000000 3.700000e-19 3.700000e-19 0.000000e+00
108.500000 5.200000e-19 5.200000e-19 0.000000e+00
109.000000 1.100000e-18 1.100000e-18 0.000000e+00
109.500000 4.100000e-19 4.100000e-19 0.000000e+00
110.000000 3.700000e-19 3.700000e-19 0.000000e+00
110.500000 2.400000e-19 2.400000e-19 0.000000e+00
111.000000 1.800000e-18 1.800000e-18 0.000000e+00
111.200000 1.900000e-18 1.900000e-18 0.000000e+00
111.500000 1.800000e-18 1.800000e-18 0.000000e+00
111.800000 3.000000e-19 3.000000e-19 0.000000e+00
112.000000 1.850000e-18 1.850000e-18 0.000000e+00
112.500000 1.800000e-18 1.800000e-18 0.000000e+00
112.600000 1.900000e-18 1.900000e-18 0.000000e+00
113.000000 7.400000e-19 7.400000e-19 0.000000e+00
113.500000 2.200000e-19 2.200000e-19 0.000000e+00
114.000000 1.700000e-19 1.700000e-19 0.000000e+00
115.000000 4.100000e-19 4.100000e-19 0.000000e+00
116.000000 1.850000e-19 1.850000e-19 0.000000e+00
117.200000 7.800000e-19 7.800000e-19 0.000000e+00
118.000000 2.600000e-19 2.600000e-19 0.000000e+00
119.000000 1.100000e-18 1.100000e-18 0.000000e+00
120.000000 6.000000e-19 6.000000e-19 0.000000e+00
120.500000 3.700000e-19 3.700000e-19 0.000000e+00
121.000000 7.400000e-19 7.400000e-19 0.000000e+00
121.500000 1.700000e-18 1.700000e-18 0.000000e+00
121.800000 1.850000e-18 1.850000e-18 0.000000e+00
122.000000 1.300000e-18 1.300000e-18 0.000000e+00
122.500000 3.700000e-19 3.700000e-19 0.000000e+00
123.000000 2.600000e-19 2.600000e-19 0.000000e+00
123.500000 7.400000e-19 7.400000e-19 0.000000e+00
124.000000 1.400000e-18 1.400000e-18 0.000000e+00
124.500000 5.600000e-19 5.600000e-19 0.000000e+00
125.000000 6.700000e-19 6.700000e-19 0.000000e+00
130.000000 7.000000e-19 7.000000e-19 0.000000e+00
130.400000 7.000000e-19 7.000000e-19 0.000000e+00
130.410000 1.750000e-18 1.750000e-18 0.000000e+00
135.000000 8.750000e-19 8.750000e-19 0.000000e+00
140.000000 2.000000e-19 2.000000e-19 0.000000e+00
143.000000 1.250000e-19 1.250000e-19 0.000000e+00
145.000000 0.000000e+00 0.000000e+00 0.000000e+00
150.000000 0.000000e+00 0.000000e+00 0.000000e+00
155.000000 0.000000e+00 0.000000e+00 0.000000e+00
160.000000 0.000000e+00 0.000000e+00 0.000000e+00
165.000000 0.000000e+00 0.000000e+00 0.000000e+00
170.000000 0.000000e+00 0.000000e+00 0.000000e+00
175.000000 0.000000e+00 0.000000e+00 0.000000e+00
180.000000 0.000000e+00 0.000000e+00 0.000000e+00
185.000000 0.000000e+00 0.000000e+00 0.000000e+00
186.000000 0.000000e+00 0.000000e+00 0.000000e+00
186.050000 0.000000e+00 0.000000e+00 0.000000e+00
242.460000 0.000000e+00 0.000000e+00 0.000000e+00
