# [b'Cross sections for H2CS\nHelgi Rafn Hr\xc3\xb3\xc3\xb0marsson 2022-11-26\nPhotodissociation source: Drury+ (1982), Chiang+ (2005)\nPhotoionization source: Kroto+ (1972)\nwavelength: (nm)\nphotoabsorption:    cross section (cm2)\nphotodissociation:  cross section (cm2)\nphotoionisation:    cross section (cm2)']
# 
# wavelength   photoabsorption photodissociation   photoionisation
  82.8128228       5.18267e-17       7.52764e-18       4.42991e-17
  82.8759275       5.18416e-17       7.54258e-18       4.42991e-17
  82.9391285       5.18566e-17       7.55753e-18       4.42991e-17
  83.0029817       5.18717e-17       7.57264e-18       4.42991e-17
  83.0663767       5.18867e-17       7.58764e-18       4.42991e-17
  83.1298686       5.19017e-17       7.60267e-18       4.42991e-17
  83.1940159       5.19169e-17       7.61784e-18       4.42991e-17
  83.2577032       5.19320e-17       7.63291e-18       4.42991e-17
  83.3214880       5.19471e-17       7.64801e-18       4.42991e-17
  83.3859315       5.19623e-17       7.66326e-18       4.42991e-17
  83.4499131       5.19775e-17       7.67840e-18       4.42991e-17
  83.5139929       5.19926e-17       7.69356e-18       4.42991e-17
  83.5787346       5.20079e-17       7.70888e-18       4.42991e-17
  83.6430125       5.20232e-17       7.72409e-18       4.42991e-17
  83.7079545       5.20385e-17       7.73945e-18       4.42991e-17
  83.7724313       5.20538e-17       7.75471e-18       4.42991e-17
  83.8370076       5.20691e-17       7.76999e-18       4.42991e-17
  83.9022513       5.20845e-17       7.78543e-18       4.42991e-17
  83.9670280       5.20998e-17       7.80076e-18       4.42991e-17
  84.0319047       5.21152e-17       7.81611e-18       4.42991e-17
  84.0974522       5.21307e-17       7.83162e-18       4.42991e-17
  84.1625308       5.21461e-17       7.84702e-18       4.42991e-17
  84.2277101       5.21615e-17       7.86244e-18       4.42991e-17
  84.2935636       5.21771e-17       7.87802e-18       4.42991e-17
  84.3589461       5.21926e-17       7.89349e-18       4.42991e-17
  84.4250050       5.22082e-17       7.90912e-18       4.42991e-17
  84.4905917       5.22237e-17       7.92464e-18       4.42991e-17
  84.5562803       5.22393e-17       7.94019e-18       4.42991e-17
  84.6226488       5.22550e-17       7.95589e-18       4.42991e-17
  84.6885430       5.22705e-17       7.97148e-18       4.42991e-17
  84.7545399       5.22862e-17       7.98710e-18       4.42991e-17
  84.8212201       5.23019e-17       8.00288e-18       4.42991e-17
  84.8874241       5.23176e-17       8.01854e-18       4.42991e-17
  84.9537315       5.23333e-17       8.03423e-18       4.42991e-17
  85.0207255       5.23492e-17       8.05009e-18       4.42991e-17
  85.0872414       5.23649e-17       8.06582e-18       4.42991e-17
  85.1544463       5.23808e-17       8.08173e-18       4.42991e-17
  85.2211717       5.23966e-17       8.09752e-18       4.42991e-17
  85.2880017       5.24124e-17       8.11333e-18       4.42991e-17
  85.3555242       5.24284e-17       8.12931e-18       4.42991e-17
  85.4225652       5.24442e-17       8.14517e-18       4.42991e-17
  85.4897116       5.24601e-17       8.16106e-18       4.42991e-17
  85.5575540       5.24762e-17       8.17711e-18       4.42991e-17
  85.6249129       5.24921e-17       8.19305e-18       4.42991e-17
  85.6923779       5.25081e-17       8.20901e-18       4.42991e-17
  85.7605425       5.25242e-17       8.22514e-18       4.42991e-17
  85.8282214       5.25402e-17       8.24116e-18       4.42991e-17
