# [b'Cross sections for HNC\nHelgi Rafn Hr\xc3\xb3\xc3\xb0marsson 2022-11-24\nPhotodissociation source: Aguado+ (2017)\nPhotoionization source: Gans+ (2019)\nwavelength: (nm)\nphotoabsorption:    cross section (cm2)\nphotodissociation:  cross section (cm2)\nphotoionisation:    cross section (cm2)']
# 
# wavelength   photoabsorption photodissociation   photoionisation
  83.5930038       5.98668e-17       0.00000e+00       5.98668e-17
  83.6093518       5.98368e-17       0.00000e+00       5.98368e-17
  83.6262702       5.98068e-17       0.00000e+00       5.98068e-17
  83.6426313       5.97763e-17       0.00000e+00       5.97763e-17
  83.6595632       5.97452e-17       0.00000e+00       5.97452e-17
  83.6759373       5.97141e-17       0.00000e+00       5.97141e-17
  83.6928827       5.96824e-17       0.00000e+00       5.96824e-17
  83.7092698       5.96502e-17       0.00000e+00       5.96502e-17
  83.7262287       5.96180e-17       0.00000e+00       5.96180e-17
  83.7431945       5.95863e-17       0.00000e+00       5.95863e-17
  83.7596013       5.95552e-17       0.00000e+00       5.95552e-17
  83.7765807       5.95246e-17       0.00000e+00       5.95246e-17
  83.7930005       5.94941e-17       0.00000e+00       5.94941e-17
  83.8099934       5.94641e-17       0.00000e+00       5.94641e-17
  83.8264264       5.94341e-17       0.00000e+00       5.94341e-17
  83.8434329       5.94052e-17       0.00000e+00       5.94052e-17
  83.8598790       5.93763e-17       0.00000e+00       5.93763e-17
  83.8768990       5.93485e-17       0.00000e+00       5.93485e-17
  83.8933582       5.93213e-17       0.00000e+00       5.93213e-17
  83.9103918       5.92946e-17       0.00000e+00       5.92946e-17
  83.9268642       5.92690e-17       0.00000e+00       5.92690e-17
  83.9439115       5.92435e-17       0.00000e+00       5.92435e-17
  83.9603970       5.92190e-17       0.00000e+00       5.92190e-17
  83.9774579       5.91957e-17       0.00000e+00       5.91957e-17
  83.9939566       5.91723e-17       0.00000e+00       5.91723e-17
  84.0110311       5.91495e-17       0.00000e+00       5.91495e-17
  84.0275430       5.91273e-17       0.00000e+00       5.91273e-17
  84.0446312       5.91050e-17       0.00000e+00       5.91050e-17
  84.0611563       5.90833e-17       0.00000e+00       5.90833e-17
  84.0782582       5.90617e-17       0.00000e+00       5.90617e-17
  84.0947965       5.90400e-17       0.00000e+00       5.90400e-17
  84.1119120       5.90183e-17       0.00000e+00       5.90183e-17
  84.1284637       5.89966e-17       0.00000e+00       5.89966e-17
  84.1455929       5.89749e-17       0.00000e+00       5.89749e-17
  84.1621578       5.89527e-17       0.00000e+00       5.89527e-17
  84.1793007       5.89304e-17       0.00000e+00       5.89304e-17
  84.1958789       5.89076e-17       0.00000e+00       5.89076e-17
  84.2130356       5.88843e-17       0.00000e+00       5.88843e-17
  84.2296270       5.88604e-17       0.00000e+00       5.88604e-17
  84.2467975       5.88353e-17       0.00000e+00       5.88353e-17
  84.2634022       5.88092e-17       0.00000e+00       5.88092e-17
  84.2805864       5.87825e-17       0.00000e+00       5.87825e-17
  84.2972045       5.87548e-17       0.00000e+00       5.87548e-17
